"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","ANLN","ASPM","KCNN2","AFP","DKK1","ALDH3A1","ODAM","TTK","MEP1A","NEK2","EPCAM","TOP2A","POSTN","CCNB1","IGF2BP3","OIT3","LGR5","NUF2","GPC3","CNDP1","S100P","CLEC1B","COX7B2","REG3A","NQO1","FDCSP","CLEC4G","LIN28B","PEG10","LINC01093","LINC01419","MMP12","MYH4"
"TCGA-FV-A3I1-00","3.1354942","3.7612001","6.6995003","6.0614569","1.0986123","4.1431347","0.0000000","1.0986123","1.0986123","2.0794415","4.2904594","3.6109179","5.5606816","3.7376696","2.6390573","8.2967959","5.0369526","2.1972246","4.9126549","7.5038407","2.8903718","6.2595815","0.0000000","0.0000000","4.6913479","0.6931472","0.0000000","0.0000000","5.1474945","8.1068160","0.6931472","0.0000000","0.0000000"
"TCGA-DD-A1EB-00","3.4965076","3.9512437","7.1356873","4.5538769","1.6094379","4.9199809","0.0000000","1.7917595","0.6931472","2.3025851","5.1357984","4.4773368","5.7300998","4.4773368","1.9459101","8.4006594","4.8362819","2.5649494","5.3082677","8.6569551","3.6635616","6.3297209","0.0000000","0.0000000","4.9558271","0.0000000","0.0000000","0.0000000","5.9788858","8.0352789","0.0000000","0.0000000","0.6931472"
"TCGA-BC-A10Z-00","2.3025851","2.3025851","5.5294291","4.7621739","2.3978953","2.9444390","0.6931472","1.3862944","0.6931472","2.0794415","7.4054957","2.7725887","3.5835189","3.8286414","0.0000000","7.7415336","1.7917595","1.0986123","5.5333895","7.0219764","3.9120230","4.7957905","0.0000000","0.0000000","4.9052748","0.0000000","0.0000000","0.0000000","4.2046926","7.0950644","0.0000000","0.6931472","1.0986123"
"TCGA-DD-A118-00","3.7612001","3.9889840","5.3471075","5.5214609","0.0000000","3.7376696","0.0000000","2.7080502","0.0000000","3.2580965","4.3174881","4.4543473","4.6821312","4.6051702","0.6931472","8.3306226","4.3694479","2.8903718","4.0073332","7.8200380","3.3672958","6.5708830","0.0000000","0.0000000","3.3322045","0.0000000","0.0000000","0.0000000","4.9416424","7.6834037","0.0000000","0.0000000","0.0000000"
"TCGA-DD-A1EJ-00","3.6635616","3.9318256","6.3851944","5.7004436","2.1972246","3.6375862","0.0000000","2.9444390","1.3862944","3.0445224","5.2203558","4.7004804","5.2781147","4.7273878","2.0794415","8.6324842","5.1298987","2.7725887","4.8675345","7.8659554","4.0604430","6.5778614","0.0000000","3.1354942","5.3423343","0.0000000","0.6931472","0.0000000","4.8441871","8.6201107","0.0000000","3.3322045","0.0000000"
"TCGA-BC-A10Y-00","2.9957323","3.2958369","6.1590954","5.8111410","1.3862944","4.7095302","0.6931472","2.4849066","1.7917595","1.3862944","5.4161004","3.8066625","6.3261495","4.1108739","1.9459101","8.7284261","4.6051702","2.7080502","4.9972123","7.0715734","3.0445224","5.8998974","0.0000000","0.0000000","4.5747110","0.0000000","0.6931472","0.0000000","4.4188406","7.4133673","0.0000000","2.9957323","0.0000000"
"TCGA-DD-A1EG-00","2.9444390","3.5553481","6.0822189","5.5984220","2.7725887","3.6375862","0.6931472","1.7917595","1.6094379","2.4849066","6.1377271","4.4067192","4.9126549","4.1588831","1.0986123","8.0120182","3.9120230","2.8332133","5.2257467","8.4042484","3.6888795","6.5792512","0.0000000","1.0986123","5.8464388","0.6931472","1.0986123","0.0000000","3.0445224","8.0959035","0.6931472","1.9459101","2.7080502"
"TCGA-DD-A1EI-00","4.4308168","5.7300998","6.7979404","5.7714411","0.6931472","3.5263605","1.3862944","3.7376696","1.7917595","3.6375862","5.8464388","5.8888780","6.5087691","5.2364420","2.5649494","8.5169932","4.5325995","3.3322045","7.6319165","8.1134266","1.0986123","6.5834092","0.0000000","0.0000000","4.4773368","0.0000000","0.0000000","0.0000000","5.3375381","7.8811822","0.0000000","0.0000000","0.0000000"
"TCGA-BD-A2L6-00","3.7612001","4.2626799","6.0258660","5.3132060","3.1780538","2.6390573","0.0000000","3.3672958","3.2580965","3.2958369","6.1202974","5.2522734","5.1761497","4.7957905","2.7080502","8.2579042","2.7725887","3.4657359","5.7620514","7.0121153","2.8332133","5.3936275","0.6931472","0.0000000","4.8598124","0.6931472","0.6931472","0.0000000","3.8501476","6.7776466","0.6931472","4.9416424","0.0000000"
"TCGA-BC-A10R-00","3.218876","3.044522","6.089045","5.231109","1.609438","2.944439","0.000000","1.791759","1.386294","2.484907","5.446737","4.356709","5.891644","3.784190","2.079442","8.514389","4.418841","2.197225","6.091310","8.837681","3.091042","6.694562","0.000000","1.098612","3.401197","0.000000","0.000000","0.000000","4.897840","7.732808","0.000000","0.000000","0.000000"
