"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"gene","SEC61A2","SEL1L3","EIF3L","RPL3","KRT23","OAS2","SLC39A11","CFHR5","LRRC1","LOXL4","CREG1","JTB","FAM168B","PTPRD","STC1","SLC22A15","SENP2","HSPA4L","COL4A3","CTDSP2","NR2F1","DLEU1","NR2C2","GTPBP6","PRR14L","MAGEH1","TRIM31","NEURL1B","LINC01806","DENND11"
"TCGA-DD-A3A6-00"," 5.187386"," 5.164786"," 6.200509","11.000532"," 0.000000"," 5.384495"," 7.259116"," 8.280964"," 2.833213"," 3.828641"," 8.654343"," 6.003887"," 6.726233"," 5.926926"," 4.442651"," 1.098612"," 6.192362"," 5.003946"," 1.098612"," 7.118826"," 5.472271"," 2.833213"," 3.871201"," 6.610696"," 5.424950"," 6.049733"," 0.000000"," 4.406719"," 4.219508"," 5.968708"
"TCGA-DD-A1EC-00"," 6.369901"," 6.661855"," 8.085179","10.774676"," 1.945910"," 7.036148"," 7.352441"," 9.636980"," 3.465736"," 4.574711"," 9.225426"," 5.509388"," 8.205218"," 6.752270"," 4.442651"," 2.890372"," 7.193686"," 5.676754"," 3.258097"," 8.925055"," 7.109879"," 4.304065"," 6.242223"," 7.315884"," 7.024649"," 6.180017"," 2.397895"," 7.049255"," 5.017280"," 7.679251"
"TCGA-DD-A11C-00"," 5.575949"," 5.488938"," 7.154615","10.093364"," 0.000000"," 6.699500"," 6.899723"," 8.313852"," 3.218876"," 3.367296"," 8.340695"," 4.499810"," 6.705639"," 5.869297"," 2.564949"," 1.791759"," 6.295266"," 5.407172"," 3.555348"," 7.211557"," 6.033086"," 2.772589"," 5.662960"," 6.259581"," 5.976351"," 5.852202"," 1.386294"," 5.799093"," 3.737670"," 6.426488"
"TCGA-FV-A23B-00"," 5.874931"," 7.604894"," 8.391403","11.323446"," 6.196444"," 7.367077"," 7.747597"," 8.553911"," 4.990433"," 6.836259"," 9.522007"," 5.537334"," 8.040125"," 6.637258"," 5.627621"," 4.718499"," 7.212294"," 6.917706"," 5.220356"," 8.541691"," 7.320527"," 4.477337"," 6.556778"," 7.565793"," 6.948897"," 6.928538"," 4.304065"," 7.291656"," 3.583519"," 7.457032"
"TCGA-BC-A110-00"," 5.846439"," 6.188264"," 7.527794","11.013963"," 2.564949"," 7.299121"," 7.445418"," 8.029433"," 2.995732"," 4.762174"," 8.994297"," 5.075174"," 7.297768"," 6.480045"," 6.452049"," 3.688879"," 6.932448"," 6.587550"," 3.496508"," 7.145196"," 6.622736"," 3.044522"," 5.468060"," 7.195937"," 6.133398"," 6.408529"," 2.397895"," 4.204693"," 4.394449"," 6.030685"
"TCGA-FV-A3I1-00"," 6.037871"," 6.190315"," 8.007367","10.899181"," 1.609438"," 6.739337"," 7.603399"," 8.986321"," 2.995732"," 4.553877"," 8.758570"," 5.262690"," 8.008366"," 6.752270"," 2.772589"," 2.302585"," 7.021084"," 5.843544"," 3.761200"," 8.901639"," 6.706862"," 4.060443"," 6.495266"," 7.360104"," 6.856462"," 6.163315"," 1.386294"," 6.659294"," 3.931826"," 7.549609"
"TCGA-DD-A1EB-00"," 5.937536"," 6.845880"," 8.192294","11.171533"," 2.639057"," 7.731931"," 7.952967"," 8.856376"," 3.555348"," 4.762174"," 9.407222"," 4.663439"," 7.861727"," 7.031741"," 4.127134"," 4.276666"," 7.279319"," 6.598509"," 3.178054"," 8.269501"," 6.907755"," 4.276666"," 6.109248"," 7.609367"," 6.605298"," 6.403574"," 5.823046"," 6.291569"," 4.615121"," 7.313887"
"TCGA-BC-A10Z-00"," 5.455321"," 7.254885"," 7.542744","11.159417"," 6.304449"," 5.686975"," 7.365180"," 8.255049"," 5.327876"," 7.844633"," 9.013230"," 5.293305"," 7.455877"," 6.311735"," 7.431300"," 4.644391"," 6.955593"," 6.156979"," 3.891820"," 8.004032"," 6.620073"," 3.828641"," 5.631212"," 7.544332"," 6.437752"," 6.220590"," 5.123964"," 4.744932"," 4.158883"," 6.549651"
"TCGA-DD-A118-00"," 5.313206"," 5.780744"," 7.602900","10.609600"," 2.302585"," 6.006353"," 7.112327"," 8.436850"," 2.639057"," 3.850148"," 8.853523"," 5.849325"," 7.197435"," 5.968708"," 3.806662"," 1.098612"," 6.797940"," 6.261492"," 1.609438"," 7.893572"," 5.913503"," 3.583519"," 5.446737"," 6.977281"," 6.118097"," 5.758902"," 1.945910"," 4.859812"," 4.672829"," 6.738152"
"TCGA-DD-A1EJ-00"," 5.996452"," 6.754604"," 8.301770","11.354164"," 3.663562"," 6.959399"," 7.743703"," 9.202107"," 3.295837"," 5.590987"," 9.363405"," 6.453625"," 7.896553"," 6.517671"," 4.736198"," 3.367296"," 7.348588"," 6.442540"," 2.639057"," 8.118803"," 7.044905"," 4.488636"," 6.077642"," 7.802618"," 6.583409"," 6.666957"," 3.044522"," 6.499787"," 5.017280"," 7.094235"
