"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"CEP152",6.374923983,5.200252246,5.551402622,5.047883283,5.451014797,5.709970747,5.649354606,6.636292214,5.349341206,5.309518137,5.602457945,5.57870888,5.75335997,5.447796422
"CEP350",7.382807013,8.086776553,7.945397901,8.207627415,8.406695106,8.048991743,7.750403747,7.523692722,8.520765378,7.428670231,8.096754206,7.936755456,7.990651845,8.401340796
"CEP55",5.709297125,5.574475042,6.034759229,5.364166788,5.441352216,6.01236084,6.109011455,6.158249372,5.977862879,5.674745806,6.124776964,6.23865048,5.863014109,5.513336087
"CEP63",8.139292585,8.304984056,7.877648909,8.081153944,8.177343193,8.204346157,8.391948531,7.930304256,8.071503021,8.038549483,8.035876632,8.202708971,8.408053221,7.855453539
"CEP70",6.964255816,6.745768279,7.556364686,7.370742932,7.419524434,7.821544292,7.604650133,6.924510008,6.961408258,7.727590035,7.51498383,7.124783445,7.105563297,6.768780147
"CERS5",6.958473632,6.932991774,7.029480019,7.089676017,6.950263955,6.936874714,7.693518841,6.97271654,7.312032939,6.912337939,6.713367522,7.611924358,7.119775642,7.488299137
"CETN2",10.08487693,10.37715161,10.32419553,10.12555237,10.19167259,9.704535782,11.20144968,10.31323864,10.71213449,10.37135511,9.916805422,10.59891882,10.18974755,10.00272939
"CETP",7.49785082,10.01410149,9.479579067,9.371122922,9.9281765,11.29935618,8.444491603,8.794983683,9.619258644,9.9281765,10.62717455,8.204778687,9.577880142,8.702645775
"CFI",9.57209365,9.865832382,10.77838175,10.17822917,10.08026139,10.15523124,8.999281827,10.28988199,9.995882916,10.57965443,9.696439794,10.04627349,9.867147504,9.696439794
"CFP",5.196040261,6.580468539,6.023495743,7.227684747,6.3310054,7.472938396,4.841360819,6.276600088,5.965465413,7.02391646,7.545474589,5.432446888,6.90329001,6.213073208
"CFTR",4.655120276,5.360215847,4.806941081,4.639742342,5.01586423,5.203882624,4.577498333,4.832097908,6.426616983,4.43174992,4.611776383,4.715043082,4.817998026,4.700510946
"CH25H",4.989053167,7.417364946,6.200878178,4.8882194,5.433548577,5.640002838,5.574042282,5.157194708,8.067343205,5.863014109,5.255300301,6.748225303,5.681709021,6.298494838
"CHCHD1",6.575847411,6.556018041,6.584010163,6.803214586,6.001447682,6.033405166,6.024896302,7.03695757,6.84368669,6.799749556,6.748225303,6.343958169,6.73048392,6.005083445
"CHCHD2",13.49570355,13.05949663,13.26781522,13.35440058,12.9944234,12.99101962,13.63920062,13.43605545,13.34408219,12.95109381,12.94305378,13.16789006,13.12750112,12.97096584
"CHCHD7",7.298671609,7.787006265,8.2173704,7.641281744,7.50569903,6.936251948,8.022202596,7.58163325,7.625123281,8.01529129,7.197195066,7.455656902,7.647196838,6.947703788
"CHD1L",8.483088095,7.966209477,7.900545111,8.135251869,7.669008907,7.748639114,7.670180626,7.848482622,8.096394633,8.059205718,7.607120722,7.445361977,8.295133512,8.185374666
"CHD7",6.951154744,7.317138838,7.227081668,7.252033072,7.321790698,7.187630499,6.767562751,6.809215681,6.891478907,7.098012408,7.270806919,7.513875209,6.605660939,6.939069289
"CHKA",8.363096005,8.708196682,8.572002008,8.934561403,8.647430605,9.165555841,8.906440963,8.381727908,8.666043236,8.682091339,9.478916267,9.180548503,8.274325443,8.876831736
"CHML",6.341683762,6.706760197,7.222030782,6.671502502,6.165989981,6.257546184,6.549297239,6.751298714,6.327682091,6.887399958,5.829885292,6.260182434,5.733299113,6.091699291
"CHP1",8.762151183,8.922878323,9.156279417,9.266467202,9.138905606,8.669290999,9.231232857,9.367120379,8.843418133,9.178473401,9.362243697,8.847746389,9.316509724,9.279097167
"CHRAC1",5.87374169,6.090666261,5.996932237,6.376096841,5.835396149,6.380213614,6.516603703,5.863014109,6.516603703,5.437029894,6.198108013,6.276852868,6.240332874,5.881878951
"CHRDL1",5.140250491,4.757464622,4.769268372,4.628951107,4.561905814,4.496908755,4.555303043,4.47964291,4.508048778,4.663620133,4.705306757,4.54950134,4.622962283,4.936945764
"CHST4",4.538495876,8.852157497,5.658704268,6.551135512,6.111450752,4.965051221,4.615374236,6.768208651,8.752917105,4.90372434,4.850696341,5.321221968,5.213439052,5.72397467
"CHST7",7.083057166,9.087896108,9.245245704,9.031239034,8.598582849,8.588645799,7.766520056,7.705065365,9.353290035,8.038979944,7.762092086,8.464600903,9.696439794,9.03997684
"CHTOP",8.441104892,8.816812843,8.722133795,8.732912495,8.342839691,8.573824482,8.302544516,8.699166839,8.923379767,8.768753114,8.521220642,8.797351512,8.692251602,8.970571743
"CIAO1",9.40067766,9.384044251,9.390715225,9.909939324,9.995202898,10.02591663,9.584816053,9.559493536,9.090385629,9.353290035,10.05422248,9.981853596,9.901046504,10.06895432
"CIDEB",10.52912344,10.46605413,10.37224749,10.77838175,10.46305779,10.2262993,10.99342571,11.02431169,10.09119906,10.94362349,9.947222287,9.448705606,10.61808681,9.175190569
"CILP",5.97265351,6.483488799,6.892036086,6.24200797,6.321030187,6.630129465,5.526642508,6.5421498,5.972353608,5.993430981,5.776993091,6.341126029,6.365736012,6.33380539
