"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"ADRA1B",8.038549483,8.076268272,8.25422745,7.945737456,7.75613966,7.08570384,7.637053435,7.159514794,8.223119562,8.246896031,8.055303099
"ADSL",10.26795102,10.2017349,10.12315892,9.863768356,10.03798115,9.931088072,10.06631232,9.891343784,9.934787183,9.942680123,10.09743153
"ADSS1",9.681987794,9.430148754,10.05268466,9.008263947,9.217196083,9.768001031,8.935406641,9.417260854,9.228797835,9.277382618,9.881011473
"AFP",8.205134521,9.109645114,8.649764719,9.043019438,8.271821098,7.004467576,9.538181673,7.685528618,8.84132234,8.772934339,8.18846478
"AGAP1",7.151268899,6.639395798,7.052270507,7.263849404,7.037939637,7.017752189,7.120090341,7.070281975,7.081745022,7.200579829,6.785969236
"AGAP3",6.909549174,7.334361312,7.643250028,7.365254233,7.49967434,7.224691967,7.764654524,7.452218121,7.714946424,7.563836785,6.819238012
"AGBL5",7.053607981,7.35025321,7.094024152,6.713967241,6.929868078,6.23865048,7.047546218,6.659818379,6.961705633,6.395596267,6.556652533
"AGGF1",7.637053435,7.558709493,7.725518677,7.742459536,7.590196274,7.56062503,7.844075604,7.841688228,7.572070832,7.469728278,7.685861401
"AGL",10.17226721,9.573998358,9.804187863,10.29068872,10.02831153,9.288059033,10.34898565,9.770747233,9.653184335,9.579830875,9.591288442
"AGPAT2",9.469101873,8.898993726,9.296242261,9.340413862,9.178978096,8.916102171,9.445506498,10.24923615,9.431400475,10.08487693,9.474607534
"AGTR1",8.87790076,9.667933905,9.529183499,9.269879832,9.3433086,9.700271839,9.365530367,9.957049029,10.28814477,9.666563766,9.387970529
"AGXT",14.12361439,13.86864527,13.86142442,14.20890499,13.94794803,13.90982983,14.43988582,14.02956106,14.07918801,13.95496394,14.32467713
"AGXT2",9.492974664,9.044575204,8.88147021,10.08098373,9.987148495,9.268142356,9.731021944,9.630633893,9.185561505,9.868558966,9.069619784
"AHCTF1",7.673009838,7.691821616,8.209283661,7.500340375,8.024673131,8.150215649,8.01779083,7.827047112,7.91489241,7.936755456,7.698417163
"AHNAK",10.51032271,9.945903341,10.20593156,10.261829,10.17385775,9.688469273,10.1479597,9.486007686,9.998110025,9.483995871,9.422423477
"AIDA",5.719734748,6.173743982,6.393966318,5.586283264,5.455070493,6.157433113,5.577059863,6.293123037,6.465203188,6.400579484,6.212539834
"AIFM2",6.013340525,5.42499899,5.71657815,5.751205709,5.182510238,5.249265126,5.109180815,5.260211064,5.645182282,5.904131495,5.693597404
"AIG1",10.15050735,9.921271089,10.57408616,10.04387858,9.907671691,9.651777255,9.976400601,10.24137172,10.1729684,10.23474991,10.33620565
"AIRE",13.28216046,12.29104773,12.74487239,12.7347023,12.45560136,12.67693801,12.82791879,12.31991831,12.75516335,12.52414736,12.4032171
"AKR1B10",12.44755069,13.00195684,12.05389371,11.12655465,12.03051813,12.15477543,10.65384888,9.798058927,10.27482704,12.7762766,13.0312602
"AKR1C3",12.79360699,12.69741312,12.62234706,12.67373701,12.63221037,12.61960132,11.85501105,12.39995413,12.87554659,12.61630571,13.62633342
"AKR1D1",14.04640459,13.76277255,14.09725874,13.96335229,13.65138404,14.04640459,14.07094961,13.90982983,13.96335229,13.66440172,13.50696633
"AKT1",10.79755954,10.20999619,10.56419715,10.6968123,10.59265949,10.56745262,10.91226497,10.50210444,10.69539663,10.85308972,10.62609825
"AKT2",5.008132225,5.021442788,5.048139994,4.659813688,4.751653587,5.184302426,4.894125343,5.430826073,5.311899693,5.288600286,5.17638406
"AKT3",4.642293067,5.047972336,4.750780212,4.708695717,4.74904293,4.604846363,4.758698449,4.755555184,4.683442046,4.680094757,4.875410568
"ALB",15.19076697,15.26451205,15.19076697,15.21164625,15.26451205,15.30532618,15.21164625,15.03238135,14.96826165,15.04674202,15.21164625
"ALDH18A1",8.514260345,8.187197634,7.84452338,7.709563191,7.538907611,8.08434494,7.917504231,8.331742156,7.764654524,8.039402536,8.344569474
"ALDH1B1",8.787304846,8.844389451,9.090385629,8.763994007,8.118788277,8.186286021,8.575955646,8.112006227,8.5396603,8.609132433,8.408466072
"ALDH2",12.28832837,12.76630827,12.95913479,13.21733076,12.65693111,12.59637904,12.67693801,13.55543357,13.01898566,12.44402964,12.43862163
"ALDH6A1",12.07068235,11.34972673,12.22449801,12.59005771,12.13060661,11.80965952,12.42439403,11.90438837,12.27704764,11.97486197,11.85053443
"ALDOB",14.99278834,15.14108917,14.74381914,14.98014,14.99278834,14.96826165,15.26451205,15.19076697,15.10558798,14.70576835,14.99278834
"ALG6",7.460867687,7.702911846,7.405762643,7.597881118,7.381360618,7.495824802,7.557388268,7.485705012,7.387039242,7.642909996,7.373836172
"ALPL",11.92407519,10.03548531,11.26470497,11.87653757,11.39741848,11.47569489,11.44241344,10.86932455,10.69317013,11.49035316,10.02591663
"ALYREF",7.927233439,7.902093499,7.933677703,7.619859513,7.870385202,8.525025527,7.262761678,8.037755909,7.691821616,7.58748142,7.480352755
"AMBP",10.70136556,11.08490019,11.21198685,11.50454284,11.57691222,11.26603144,10.96882818,11.43549769,11.37347211,11.1351308,11.35869823
"AMDHD1",11.28612722,10.91971485,11.23024972,12.15247715,12.08258272,11.5751465,12.2636561,10.94241912,11.81332486,11.95102218,12.45845128
"AMZ2",9.7240942,9.761905112,9.492974664,9.939539493,9.96766382,9.429641915,9.711009443,9.762651308,9.954623607,9.78388192,9.50975565
"ANAPC11",9.526198287,9.612336615,9.632656366,9.464507446,9.701057085,9.062503713,9.200042945,9.147167591,9.477209553,9.611048679,9.350296116
"ANAPC5",10.02908094,10.26018174,10.261829,10.26448811,9.90331569,10.03068256,10.32512012,10.48100234,10.44577215,10.19675378,10.15204325
"ANAPC7",5.068254788,5.200252246,5.1800158,4.873098892,4.757389782,5.184203835,4.872251575,5.232509265,5.278332474,4.843136819,5.449425767
"ANGEL2",8.498587761,8.328589957,8.651078037,8.435823371,8.672017833,8.307885617,8.631053529,8.432519628,8.4847555,8.336612188,8.050523943
"ANGPTL1",4.72720373,5.225857294,5.291548588,5.110773047,5.123620727,5.000313738,4.762121997,4.756085026,5.119830951,4.774270385,4.740362939
"ANGPTL6",8.197136583,8.649764719,8.478319282,8.68939161,8.301642256,8.53038213,8.559053056,8.322001458,8.528569183,7.880232616,6.447164134
"ANK3",6.475428167,6.3310054,6.223076297,6.138569025,6.292609905,6.24223922,6.198381499,6.083760837,6.237176066,5.931980222,6.063522864
"ANKH",4.844490129,4.868305931,4.561884234,4.804564398,4.765289004,4.532339459,4.596670055,4.915599237,4.682429242,4.803149033,4.52269907
"ANKRD27",4.772839438,4.911391742,4.853772266,4.633194856,4.859433964,4.632038357,4.86713824,5.086311993,4.961623309,4.759115369,4.609885385
"ANKZF1",6.830340464,6.576151289,7.200579829,7.346489594,6.819862795,6.111687128,6.885552784,6.720704813,7.339504314,6.88380092,7.211019641
"ANLN",4.84290247,5.156983724,4.898248386,4.401659344,4.437802628,4.666848896,4.615030499,4.737820268,4.629579535,5.053705643,4.804156696
"ANP32B",11.70764002,11.60912306,11.78009053,11.5379697,11.75123487,11.69978416,11.3242426,11.4178704,11.60151691,11.47213477,10.93809062
"ANP32E",4.713725661,4.661912145,4.525571231,4.457145,4.573683972,4.442807381,4.531320209,4.51597707,4.682380304,4.64887883,4.365940898
"ANTXR2",9.273506898,9.228305079,9.267055048,9.495470916,9.362875254,8.919189155,9.576766194,9.195239554,9.54450086,9.498721607,8.718908612
"ANXA10",10.39932602,10.29144602,10.88372539,11.16366795,11.32079149,10.98115787,11.13081598,11.25282947,10.6894597,10.06062982,10.20593156
"ANXA3",5.533291608,4.47540475,4.532383603,4.489079848,4.664816031,5.228548174,4.520975271,4.52414787,4.557120691,4.509805782,4.503492198
