"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"gene","SEMA3F","SEC62","RBM7","SEH1L","RNMT","SARS2","RNASEH2A","SERINC1","RBP2","RND3","SCAMP3","RGS4","SEM1","RAN","SEC61G","SEMA6D","SCYL1","RASA1","SANBR","RFT1","SAP30","RNF180","SAC3D1","SCARA3","RNF187","SAMD12","RIC8A","SERHL2","RELN","SDHD","RBMXL1","SEC22B"
"TCGA-DD-A1EB-00","5.9162021","9.4476235","6.9027427","7.0121153","6.7129562","3.1354942","0.0000000","9.6701043","0.6931472","9.0314529","7.5342283","4.6821312","7.9844627","8.1602325","6.9255952","5.6204009","8.3735537","6.6133842","4.1108739","6.1569790","4.4773368","6.0637852","5.1984970","6.1612073","8.2220164","6.1312265","7.5953873","2.0794415","8.5422760","8.7263190","7.2598196","7.8682543"
"TCGA-BC-A10Z-00","5.455321","9.083189","7.180070","7.466228","6.445720","3.332205","0.000000","9.233178","2.890372","8.376781","7.724888","8.289037","8.213111","8.623893","7.482682","4.753590","8.290042","6.006353","4.343805","5.948035","4.844187","5.707110","4.844187","5.181784","8.357963","5.693732","7.537430","3.044522","7.067320","8.508556","6.788972","7.248504"
"TCGA-DD-A118-00","5.3798974","8.6289134","6.5087691","6.8046145","6.2614917","3.3672958","0.0000000","8.7106195","0.6931472","8.1113280","6.6920837","3.7612001","7.6128310","7.7977020","6.8001701","3.8066625","7.7380523","5.5872487","3.4011974","5.3752784","4.2766661","4.9344739","4.9126549","5.0875963","7.6058900","4.8283137","7.1115121","1.6094379","6.8834626","8.4988255","6.2859981","7.2492151"
"TCGA-DD-A1EJ-00","6.037871","9.533727","7.284135","7.458763","6.739337","4.127134","0.000000","9.719925","1.609438","9.355047","7.716461","6.028279","8.765146","8.598589","7.898782","5.087596","8.589514","6.672033","4.189655","6.469250","5.472271","6.173786","5.683580","5.117994","8.624612","5.823046","7.759187","2.708050","8.444838","8.972844","7.512071","8.006701"
"TCGA-BC-A10Y-00","6.122493","9.331141","6.870053","7.080868","6.844815","3.367296","0.000000","9.300638","1.791759","8.580544","7.315218","4.127134","7.842671","8.138273","6.918695","5.105945","8.440744","6.470800","4.025352","6.144186","4.828314","5.749393","5.214936","6.208590","8.050703","5.393628","7.494986","3.091042","8.528529","8.238008","7.070724","7.319865"
"TCGA-DD-A1EG-00","5.598422","8.919186","6.575076","6.924612","6.033086","3.258097","0.000000","8.958283","1.098612","7.913887","7.242082","4.110874","8.323123","8.069655","6.965080","4.430817","8.092239","5.525453","3.465736","5.768321","4.430817","5.236442","4.927254","5.407172","7.890957","4.382027","7.201171","2.833213","7.201916","8.467372","6.261492","7.111512"
"TCGA-DD-A1EI-00","6.276643","9.077723","6.726233","6.877296","6.873164","3.850148","0.000000","9.373734","0.000000","8.639588","7.598900","4.962845","8.298042","8.341172","7.387090","6.150603","8.377471","6.576470","4.060443","6.320768","4.836282","5.634790","6.008813","5.976351","8.333751","5.564520","7.741534","2.833213","8.226573","8.577159","6.475433","7.744570"
"TCGA-BD-A2L6-00","5.843544","8.923724","6.818924","6.891626","6.768493","3.912023","0.000000","9.298809","1.386294","9.026057","7.633854","5.976351","8.161375","8.449343","7.637716","6.095825","8.311890","6.597146","4.836282","6.267201","5.545177","5.793014","5.501258","5.252273","8.282736","5.267858","7.865955","3.367296","7.887959","8.470311","7.018402","7.545918"
"TCGA-BC-A10R-00","5.808142","9.230241","6.898715","7.359468","6.867974","3.931826","0.000000","9.487972","0.000000","8.713253","7.320527","4.025352","8.045909","8.370084","7.234898","4.875197","8.217708","6.061457","3.367296","5.991465","4.912655","5.389072","5.003946","5.673323","8.306966","4.912655","7.704361","2.564949","8.201934","8.520388","6.269096","7.993620"
"TCGA-DD-A11B-00","5.605802","8.244071","5.802118","6.210600","6.021023","2.772589","0.000000","8.642239","1.098612","7.752765","6.700731","4.795791","7.406103","7.441907","6.421622","5.023881","7.779049","5.662960","3.610918","5.517453","3.931826","5.241747","5.164786","5.451038","7.650645","5.257495","7.041412","2.079442","7.271009","7.851272","5.370638","6.835185"
"TCGA-DD-A11D-00","5.7683210","8.9040869","6.5875500","6.6411822","6.5279579","3.7135721","0.0000000","9.1373395","0.6931472","8.9875718","7.4764724","5.1239640","8.0359264","8.1208860","7.1678092","5.2678582","8.1161184","5.9661467","3.5263605","5.9610053","4.5432948","5.6594822","5.6937321","4.8978398","8.3645081","4.9972123","7.3460102","3.0445224","8.0000141","8.5529464","6.2499752","7.5076901"
"TCGA-FV-A3R2-00","5.9026333","9.0507583","6.5806391","6.7274317","6.3243590","3.7135721","0.6931472","9.1661795","0.6931472","8.1889669","7.6439619","5.7960578","8.1122280","7.9755647","7.3839895","4.7957905","8.6197498","5.8230459","4.0253517","6.0958246","4.7621739","4.9836066","5.9558374","5.7071103","8.3308636","4.8903491","7.5673457","3.2580965","7.2654297","8.4191393","6.7322107","6.9772813"
"TCGA-DD-A3A1-00","5.505332","8.593599","6.146329","6.035481","5.549076","2.772589","0.000000","8.249836","0.000000","8.179200","7.442493","4.465908","8.504513","7.838738","7.703459","4.369448","8.152486","4.248495","3.637586","5.666427","4.753590","4.905275","6.061457","5.062595","8.111328","4.584967","6.931472","3.295837","6.871091","7.843456","5.669881","6.139885"
"TCGA-EP-A12J-00","5.3890717","8.5773471","6.0473722","6.1290502","6.1070229","3.3322045","0.0000000","8.7342382","0.6931472","7.0066952","7.1914293","4.0604430","7.6582275","7.7275351","6.6707663","5.6524892","7.8917047","5.8805330","3.4657359","6.0210233","4.1588831","5.3033049","5.2311086","5.1059455","7.8355792","4.5217886","7.1966866","3.1780538","7.5261789","7.9762519","5.8777358","7.1252831"
"TCGA-BC-A10T-00","5.533389","8.844192","6.762730","7.105786","6.144186","2.772589","0.000000","9.022926","0.000000","7.939515","6.883463","4.025352","7.695758","7.966587","6.987490","4.553877","7.874359","5.743003","3.465736","5.733341","4.276666","5.476464","4.812184","4.852030","7.857094","5.493061","7.074117","2.708050","7.741099","8.231642","6.731018","6.988413"
"TCGA-DD-A113-00","5.509388","8.736007","6.196444","6.805723","6.200509","3.258097","0.000000","9.001593","1.098612","9.396654","6.981935","3.761200","7.720905","7.771067","6.646391","4.499810","7.977625","5.690359","3.465736","5.590987","4.127134","5.438079","5.288267","5.655992","7.941651","5.411646","7.020191","1.386294","7.134094","8.215818","6.501290","7.387709"
"TCGA-BD-A3EP-00","5.6664267","8.7721454","6.6720329","7.1412451","6.5220928","3.3322045","0.0000000","9.0688920","0.6931472","8.3509025","7.1716568","5.1590553","7.6265702","8.0136741","6.8189241","4.6151205","8.3170335","5.8664681","3.4965076","5.9661467","4.2195077","4.9972123","5.1474945","5.5909870","8.0063676","4.8751973","7.4259537","2.0794415","7.8347881","8.0462291","6.4583383","7.0630482"
