CCND1,CREB3L4
CCND1,CTNNB1
CCND1,E2F1
CCND1,E2F4
CCND1,E2F8
CCND1,EGR1
CCND1,ELAVL1
CCND1,ESR1
CCND1,ETS2
CCND1,EZH2
CCND1,FOS
CCND1,HEY1
CCND1,MAPK1
CCND1,MAPK3
CCND1,MYC
CCND1,POU2F1
CCND1,RB1
CCND1,RFC1
CCND1,SMARCA4
CCND1,TCF7
CCND1,TCF7L1
CCND1,TCF7L2
CCNE1,COIL
CCNE1,EGR2
CCNE1,EGR3
CCNE1,SMARCA4
CCNE1,SMARCD3
CCNE1,TCF19
CD14,ATF2
CD14,TLR4
CDC20,EBF1
CDC20,FBXO5
CDC20,MAD2L1
CDC20,NFYA
CDC20,NFYC
CDC20,PTTG1
CDC23,NFYA
CDC23,NFYC
CDC23,PTTG1
CDC23,RAD54B
CDC25B,ESR1
CDC25B,FOXM1
CDC25B,MYC
CDC25C,PPP1CC
CDC45,E2F1
CDC45,E2F4
CDC45,MCM2
CDC45,MCM3
CDC45,MCM6
CDC45,NFYA
CDC6,E2F4
CDC6,E2F5
CDC6,FOXM1
CDC6,MCM2
CDC6,MCM3
CDC6,MYC
CDC6,NFYA
CDC6,POU2F1
CDK1,BRCA1
CDK1,CCNB1
CDK1,CDC25B
CDK1,CDC25C
CDK1,CDK7
CDK1,E2F1
CDK1,ETS2
CDK1,FOXM1
CDK1,HMGA1
CDK1,MDM4
CDK1,MYC
CDK1,NPM1
CDK1,PTMA
CDK1,TLE1
CDK4,BRCA1
CDK4,E2F1
CDK4,EGR1
CDK4,ESR1
CDK4,FOS
CDK4,MAPK1
CDK4,MAPK3
CDK4,MCM2
CDK4,MYC
CDK4,PCNA
CDK4,PTMA
CDK4,RB1
CDK4,RFC1
CDK4,SMAD2
CDK4,SMAD3
CDK6,EGR1
CDK6,MCM2
CDK7,BRCA1
CDK7,E2F1
CDK7,ERCC3
CDK7,ESR1
CDK7,PCGF6
CDKN1A,EZH2
CDKN1A,FUBP1
CDKN1A,NELFCD
CDKN1A,NPM1
CDKN1A,PTMA
CDKN1A,TAF5
CDKN1A,TSG101
CDKN1A,XRCC6
CDKN2A,EZH2
CDKN2A,FOXM1
CDKN2A,MCM5
CDKN2C,CCND1
CDKN2C,CDK4
CDKN2C,E2F1
CDKN2C,EGR1
CDKN2C,MYC
CDKN2C,RBBP5
CDKN2C,TLE1
CDKN2C,WDR5
CENPS,FANCI
CENPX,FANCI
CFI,C3
CITED2,LHX2
CKS1B,NFYA
CKS1B,NFYC
CKS1B,SKP2
CKS2,SKP2
CLEC4M,FOSB
CLEC4M,IL10
CLOCK,CSNK1D
CLOCK,FOSB
CNOT3,CAND1
CNOT3,CNOT1
CNOT4,CNOT1
