"","gene1","gene2","weight"
"334","BRCA2","MYC","-0.483225473964116"
"335","BRCA2","RAD51","-0.201132348817867"
"336","BRCA2","SMAD3","-0.0873087495431068"
"337","BRD7","PAFAH1B3","0.0679739163141592"
"338","BRD7","PTPN13","0.280461330911061"
"339","BRD7","RPLP1","0.555002923498616"
"340","BRD8","TRRAP","0.163619584472092"
"341","BTF3","POU2F1","-0.184055118509294"
"342","URI1","URI1","1"
"344","C8A","POU2F1","-0.468352738155977"
"345","CAD","CAD","1"
"346","CAMK1","EGR3","-0.110482627223754"
"348","CAMK2B","EGR1","0.0364639143927501"
"349","CAMK2B","EGR3","-0.227700197740531"
"351","CAT","NFE2L2","-0.242418267118498"
"352","CAT","EGR1","-0.34448571540583"
"353","CAT","EGR3","-0.1415453614494"
"354","CAT","NFYC","-0.252316326369797"
"355","CBX3","CBX1","-0.516897746090898"
"356","CBX3","CBX3","1"
"357","CBX3","DSN1","0.483198038562106"
"358","CBX3","MKI67","0.281099194629514"
"359","CCNA2","PTMA","0.642238210996721"
"360","CCNB1","BRCA1","0.671470465687558"
"361","CCNB1","E2F3","0.360015945592852"
"362","CCNB1","E2F4","-0.344899186169299"
"363","CCNB1","YBX1","-0.116604171802073"
"364","CCNB1","MYC","-0.447802861461686"
"365","CCNB1","PTMA","0.341038508560575"
"366","CCNB1","PTTG1","0.739324580104524"
"367","CCNB2","ANAPC11","0.887053364672696"
"368","CCNB2","ANAPC5","0.612354001788566"
"369","CCNB2","ANAPC7","0.749132621877413"
"370","CCNB2","CDC20","0.976313269510916"
"371","CCNB2","CDC23","0.517697690241123"
"372","CCNB2","MCM2","0.917619759099186"
"373","CCND1","NPM1","0.132493715797805"
"374","CCND1","E2F8","0.119616841828877"
"375","CCND1","EZH2","-0.417602026464586"
"376","CCND1","NELFCD","0.194767175122576"
"377","CCNE1","COIL","0.420161317600116"
"378","CCNE1","EGR3","-0.0688707846231566"
"379","CCNE1","EZH2","0.707333820148762"
"380","CCNE1","SMARCA4","0.159298319044541"
"381","CCNE1","SMARCD3","0.0858723017561254"
"382","CCNE1","TCF19","0.342526505263735"
"384","CD14","TLR4","0.383417244719364"
"385","CDK1","BRCA1","0.685979307738877"
"386","CDK1","CCNB1","0.827012441101968"
"387","CDK1","CDK7","0.0711615409997378"
"388","CDK1","NPM1","0.607058669997107"
"389","CDK1","E2F3","0.187534173191304"
"390","CDK1","E2F4","-0.301492778144979"
"391","CDK1","ETS2","-0.150861821509427"
"392","CDK1","FOXM1","0.909977052182141"
"393","CDK1","HMGA1","0.224949282131665"
"394","CDK1","KHDRBS1","0.166242578870785"
"395","CDK1","MCM4","0.683793446058688"
"396","CDK1","MYC","-0.460022070432521"
"397","CDK1","PTMA","0.508336023361098"
"398","CDK1","PTTG1","0.894100056253908"
"399","CDC20","FBXO5","0.8112807565439"
"400","CDC20","YBX1","0.377603629277895"
"401","CDC20","NFYC","0.0582882553903115"
"402","CDC20","PTTG1","0.920520427608145"
"403","CDC23","NFYC","0.0310430465764173"
"404","CDC23","PTTG1","0.474699398122966"
"405","CDC25B","FOXM1","0.598118710144749"
"406","CDC25C","PPP1CC","0.221585190636252"
"407","CDC45","E2F2","0.918161268890231"
"408","CDC45","E2F3","0.114324267101441"
"409","CDC45","E2F4","-0.0463814336997921"
"410","CDC45","MCM2","0.950224626289028"
"411","CDC45","MCM3","0.843372052012744"
"412","CDC45","MCM4","0.892988367254469"
"413","CDC45","MCM5","0.933508423212812"
"414","CDC45","MCM6","0.880150958363626"
"415","CDC45","MCM7","0.891117440731957"
"416","CDC6","FOXM1","0.748396144015871"
"417","CDK4","BHLHE40","-0.526596693146552"
"418","CDK4","BRCA1","0.52325683494485"
"419","CDK4","CDK4","1"
"420","CDK4","EGR1","-0.0196160338706402"
"421","CDK4","ESR1","-0.730600681404722"
"422","CDK4","FOS","-0.350580496754162"
"423","CDK4","MAPK3","0.306774013035614"
"424","CDK4","MCM2","0.654999593708011"
"425","CDK4","MYC","-0.181869680209194"
"426","CDK4","NCOA2","0.108926436745748"
"427","CDK4","PTMA","0.470160112001421"
"428","CDK4","RB1","-0.193799122784392"
"429","CDK4","RFC1","0.650407620112453"
"430","CDK4","SMAD2","-0.438043189876912"
"431","CDK4","SMAD3","0.110321369042496"
"432","CDK6","EGR1","0.175560724479321"
"433","CDK6","MCM2","-0.290863686206082"
"435","CDK7","BRCA1","-0.126985545030461"
"436","CDK7","ERCC3","0.761406019360179"
"437","CDK7","MCM7","-0.00220097177057073"
"438","CDK7","PCGF6","0.225854198715989"
"439","CDKN1A","AATF","-0.314249461237773"
"440","CDKN1A","ATF2","0.256966933059721"
"441","CDKN1A","BRCA1","0.0306094962018154"
"442","CDKN1A","CCNE1","-0.00582058997261729"
"443","CDKN1A","CDK4","-0.292963624170966"
"444","CDKN1A","NPM1","-0.146557644487509"
"445","CDKN1A","DNMT3A","0.154221233252708"
"446","CDKN1A","E2F3","0.0519986407701059"
"447","CDKN1A","EGR1","0.0623168017921949"
"448","CDKN1A","ESR1","-0.0481513066607899"
"449","CDKN1A","ETS2","0.621578371125474"
"450","CDKN1A","EZH2","0.120383261838151"
"451","CDKN1A","FOS","-0.0334224577293348"
"452","CDKN1A","FUBP1","-0.216799742430531"
"453","CDKN1A","HDAC1","-0.110072980087013"
"454","CDKN1A","HDAC4","-0.0145911020049572"
"455","CDKN1A","MYC","-0.218885877387208"
"456","CDKN1A","PTMA","0.249317539568909"
"457","CDKN1A","RB1","0.0884940943403016"
"458","CDKN1A","SMAD2","0.33180038829164"
