"","C-1","C-2","C-3","C-4","C-5","C-6","C-7","C-8","C-9","C-10","C-11","C-12","C-13"
"MTHFD1",8.898993726,8.720284253,8.919771722,7.493388009,8.783135168,8.972708226,8.831647092,8.772044794,8.591115536,8.986220432,9.078379568,8.065876841,9.14279387
"MTHFD1L",6.613557218,6.289154833,6.019929105,7.924194525,6.268841995,6.675873781,6.512749904,5.914175572,6.280231999,6.604734368,5.832201667,6.395330859,6.196407032
"MTIF2",9.609063715,9.264780894,9.508585467,9.121521285,9.798825435,9.684020751,9.81003396,9.721505472,9.594338378,9.604674618,9.53228149,9.595584692,9.376388375
"MTMR7",4.514495517,4.69542409,5.076064727,4.575605814,4.88039309,4.741940786,4.906828002,4.569739744,4.514578999,4.522554643,4.714739592,4.5629986,4.644571348
"MTOR",9.138905606,8.90087223,8.72163982,8.61281654,9.063506878,8.994945045,9.299067708,9.053051893,9.111214467,8.830216408,8.842905523,9.330770173,9.222884851
"MTPAP",8.1916613,8.195139585,8.808900062,8.826378322,8.273455315,8.516483978,8.465488285,8.688442431,9.410598386,8.647866363,8.718497703,8.402199882,8.46322566
"MTR",7.190219262,7.005153449,6.659516616,6.979681042,7.157258726,7.288609858,6.80095452,6.931051208,7.668469681,6.908641697,7.130573921,6.976962599,7.08570384
"MTTP",10.56943334,10.1729684,10.28552624,8.91762192,10.53782126,10.55800258,10.51224504,10.82839098,9.965098474,10.32419553,10.29711945,10.46305779,10.47027852
"MTX1",8.474803197,8.416850076,8.35954971,7.937126215,8.540493693,8.297218379,8.760213716,8.537698874,8.720727669,8.286685149,8.59735359,8.352895427,8.42049875
"MUC6",4.895379534,5.178187203,4.942349956,5.444142876,6.189517626,5.046551506,5.055282132,5.014076739,4.982707543,4.937410292,5.351988732,4.833210612,5.096139974
"MVK",6.24446556,7.605699186,8.041023965,5.686372012,7.088621739,6.95973779,7.180472306,7.294481234,6.228559027,7.244231687,6.843067436,6.871557212,6.958152585
"MYC",9.558188081,10.11126957,10.45732096,12.02595694,10.14611299,10.11910508,10.43854738,10.37984224,10.59688469,11.06304521,10.76496875,9.385150471,9.89058446
"MYD88",8.265689973,8.735411043,8.748399743,8.447676441,7.818097702,8.700712897,8.214660684,8.682528335,8.310435415,8.314715599,8.52383474,8.668867061,8.475255403
"MYO10",6.399409624,5.645182282,5.284790958,6.653074409,5.835167381,5.292276964,6.009354334,5.95670125,5.229327371,5.852992095,5.773319673,6.204498608,5.381222909
"MYO1B",10.31323864,10.06062982,10.05190951,9.364920492,10.39932602,10.08653318,9.906213997,10.11042737,10.3261583,10.53329922,9.878691825,10.43252824,10.19997676
"MYO5A",6.056221895,6.130598411,5.961861408,6.573026478,5.824917847,6.337224479,4.79436275,6.252267584,5.651533076,6.293123037,5.515437993,7.387399606,5.807875356
"MYOZ3",4.8621958,4.619306927,4.779315029,5.134561716,4.877032466,4.92932109,4.826803174,4.535071304,4.78551885,5.048693393,4.809606904,5.205618687,4.569046956
"MZT1",6.982739963,7.048510531,7.152827946,6.752508006,6.455682781,6.91441344,7.059625418,7.279924509,7.201763759,6.908076088,7.235716743,7.301131274,6.633393322
"N4BP2L1",8.257453936,8.688442431,8.583697906,7.068349462,8.604632439,8.295133512,8.424448405,8.442833083,9.17140366,8.098780961,8.706755581,7.990651845,8.607037044
"NAA20",11.3138098,11.2240561,11.01617395,11.15616577,11.38677174,11.30728357,11.50618329,11.25144916,11.33054453,11.34026353,11.00824054,11.37180102,10.903895
"NACA",13.09268348,12.86792889,12.91735836,13.10268542,12.92430981,12.67024641,13.09268348,13.06363472,12.98752368,12.72829716,12.88625052,13.09737465,12.80054949
"NAE1",8.682091339,8.717024316,8.768301183,9.120374823,9.074121596,8.836893977,8.735411043,8.736794916,8.826378322,8.816812843,8.772515355,8.754830344,8.46365285
"NAF1",5.732830862,5.845654563,6.056456388,6.093282656,5.586508878,5.958227957,5.667303512,5.411636531,5.852476051,6.14212916,5.781892027,5.810452316,5.450150429
"NAMPT",8.751937279,9.253273606,9.731021944,9.952536399,8.769650606,10.08420818,8.695893597,8.94143836,10.22475405,9.92962314,9.067023685,7.889255992,8.749553518
"NAP1L1",9.178978096,10.40579026,10.31587028,11.8813701,9.17749263,10.16733978,9.501840412,10.67382314,9.829286793,12.15882981,10.85168131,10.12892335,9.331296102
"NAT10",8.767782295,8.662290342,8.914168083,8.786403766,8.039402536,8.676791423,8.436296439,8.887723147,8.937301734,8.958035321,8.531312485,8.874879199,8.55402691
"NAT2",9.255593469,9.524865529,9.361716642,7.441531716,8.637423327,8.395518253,8.609132433,9.619258644,7.82959125,8.609594649,9.50975565,8.88147021,9.621181215
"NAT8",9.152977191,9.915282221,9.297827812,8.250898706,9.716957364,9.963493753,9.109645114,9.272323099,9.287484341,8.709617715,9.543946726,8.148488884,9.034848755
"NCAPD2",6.52198851,6.811301266,6.604097501,6.430059133,7.076868074,7.123610297,6.654059307,6.231580227,6.516287011,6.773259018,6.543167719,7.075859092,6.259006539
"NCAPG",4.640325197,4.574303856,4.544443975,4.570137401,5.205618687,4.538221655,4.547989788,4.761863075,4.561363886,4.642366753,4.66347382,5.848837762,4.482428889
"NCAPG2",4.741516545,5.037231359,4.70348566,4.782666166,4.640561266,5.280777112,4.680565467,4.571260214,5.08068169,4.529192803,4.691016535,5.004315368,4.814907632
"NCBP2",8.018148706,7.840313617,7.77221147,8.307445502,7.352641785,7.756845774,7.851122415,7.376517206,8.290880069,7.744637516,8.006293001,7.546936022,7.816201745
"NCL",10.64624966,10.27412986,10.49916979,10.84537878,10.59164169,10.40299428,10.40866707,10.13464396,10.64727667,10.09825926,10.31587028,10.07060806,10.37715161
"NCOA2",5.290272659,5.20363847,5.282893215,5.299202534,4.876206466,5.692927558,4.884237649,4.687528502,4.773342752,5.206186073,5.076344616,4.72675616,5.220777213
"NCOA6",8.46365285,8.328227293,8.128106464,8.208804824,7.775609722,8.1356437,8.334156636,8.339385857,8.394325112,8.403734112,8.123117208,8.225132522,7.971862363
"NCSTN",11.3277166,11.12252154,10.87724733,11.35515556,11.04297315,11.23024972,10.95193069,11.15473132,11.19241826,11.44745934,10.96461845,11.26743659,10.95193069
"NDC80",4.56709631,4.615173065,4.805565789,4.705178262,4.750340984,4.879176,4.524753468,4.916333091,4.643840225,4.577139239,4.735193387,5.487078317,4.805716476
"NDRG1",7.893829594,8.365187793,8.097959697,9.468294418,8.023054939,8.151741136,8.68939161,8.126195789,8.157119572,8.287945242,8.054073857,8.390724813,8.388649109
"NDRG2",11.56604701,11.42601317,11.13992404,10.1040143,11.06466065,11.27526152,10.71093997,10.2076469,11.08639646,10.31865134,11.76107566,9.686600683,11.5177944
"NDRG3",7.174554565,6.656585869,6.162874454,7.158152739,6.923504591,6.668242766,6.450286677,6.700337622,6.161262102,6.454790322,6.581924902,7.297987002,6.826084058
"NDUFA4L2",5.767356076,6.214179867,5.528495679,8.681581257,5.844025151,5.648026112,5.914667739,5.499402588,6.031323195,6.186255404,5.605376531,6.042576473,5.6831958
"NEDD1",5.442438799,5.38271011,6.173517105,5.592078485,4.870921625,5.479650782,5.049397107,4.820763637,5.269987619,5.110588673,4.825181733,5.310268613,4.919850544
"NEDD4L",6.729492956,7.928350342,7.415214579,7.256453292,8.166951379,7.782796519,7.29835547,7.613802273,7.755465006,6.785969236,7.453511581,7.604650133,8.319510094
"NEK2",4.699420127,4.737688205,4.920989583,4.549938694,4.852351953,4.83157036,4.599738627,4.71981652,4.817895355,4.78665916,4.940610557,4.986228756,4.89049677
"NEK9",4.715981203,4.999540799,4.485496121,4.681870421,4.770013287,4.675194281,4.481196718,4.876671884,4.697490474,4.543616719,4.680094757,4.464514534,4.480700931
"NELFCD",9.177991248,9.425931267,9.494721497,8.99697156,9.619844067,9.140495789,9.533404967,9.310005887,9.336211132,8.777569928,9.364340565,9.191728446,9.496667077
"NEU1",8.190491576,8.002565267,8.155609747,8.30212591,8.000277718,8.329482591,8.289127691,8.349231258,7.902504569,8.320755648,8.085919945,8.323447708,7.784779991
"NFE2L2",9.837761639,9.726997937,10.0558418,10.20593156,9.804187863,9.775414931,9.703306081,9.828560477,9.497990281,10.33811379,10.10316422,9.9465261,9.492382143
"NFRKB",5.514863704,4.819406779,5.545316794,5.643934651,5.707954438,5.606022648,5.626991192,5.22010497,5.426394898,5.75008447,5.991664255,5.308973562,6.012875226
"NFYA",5.876035706,5.178513309,5.465884534,6.001943081,5.3427674,5.128560487,5.117631263,6.038143721,4.594630386,5.733772785,6.12756513,5.903903293,6.013340525
"NFYC",8.056688833,8.105085424,7.866962303,7.833400073,7.825502647,7.705712726,7.968449485,8.260652125,7.716475081,7.621386667,8.058383721,8.235325093,8.614488873
