"","from","to"
"340","PPP2R1A","SMAD2"
"341","HGS","SMAD2"
"342","RAN","SMAD2"
"343","E2F4","SMAD2"
"344","E2F5","SMAD2"
"345","HDAC1","SMAD2"
"346","MYC","SMAD2"
"347","LEF1","SMAD2"
"348","SMAD2","SMAD2"
"349","SMAD3","SMAD3"
"350","IGF1","DCN"
"351","TGFB1","DCN"
"352","ENAH","ACTB"
"353","PRKAG2","BMP8A"
"354","E2F4","RASSF4"
"355","E2F5","RASSF4"
"356","E2F2","RASSF4"
"357","PIP4K2B","PTEN"
"358","ROCK2","PTEN"
"359","PTK2","PTEN"
"360","MYC","PTEN"
"361","PECAM1","PECAM1"
"362","HDAC1","CSNK2A1"
"363","MYC","CSNK2A1"
"364","TCF7L2","CSNK2A1"
"365","PTEN","CSNK2A1"
"366","RAC1","WASF2"
"367","TCF7","AXIN1"
"368","TCF7L2","AXIN1"
"369","TCF7L1","AXIN1"
"370","CSNK1A1L","AXIN1"
"371","APC2","AXIN1"
"372","SMAD2","AXIN1"
"373","HLA-A","HLA-A"
"374","ACTB","CTNNA1"
"375","ACTG1","CTNNA1"
"376","PIK3CA","GNB1"
"377","RAC1","GNB1"
"378","PLCB1","GNB1"
"379","HRAS","CAMK2B"
"380","E2F5","CAMK2B"
"381","E2F2","CAMK2B"
"382","AKT3","C7"
"383","AKT3","C8A"
"384","UGT2B15","ESR1"
"385","TYMS","ESR1"
"386","PIK3R1","ESR1"
"387","PIK3R3","ESR1"
"388","CDKN1A","ESR1"
"389","BRCA2","ESR1"
"390","PLCG1","ESR1"
"391","CDK7","ESR1"
"392","HDAC1","ESR1"
"393","WNT10A","ESR1"
"394","MYC","ESR1"
"395","LEF1","ESR1"
"396","SMAD2","ESR1"
"397","ESR1","ESR1"
"398","CDKN2C","RBBP5"
"399","RB1","RBBP5"
"400","ATF2","ATF2"
"401","WASF2","ARF1"
"402","ACTB","MYO1B"
"403","ACTB","MYO10"
"404","ELK1","RALA"
"405","RGL1","RALA"
"406","RALGAPB","RALA"
"407","EXOC2","RALA"
"408","E2F4","TERT"
"409","MYC","TERT"
"410","TCF7","TERT"
"411","RUVBL1","TERT"
"412","PDE7A","ETS2"
"413","CDKN2A","ETS2"
"414","CDKN1A","ETS2"
"415","MAPK3","ETS2"
"416","CCNA2","ETS2"
"417","MYC","ETS2"
"418","TERT","ETS2"
"419","ETS2","ETS2"
"420","IRF3","IRF3"
"421","E2F4","CKS1B"
"422","SDHB","NFE2L2"
"423","GSTA1","NFE2L2"
"424","DUSP1","NFE2L2"
"425","PRKCD","NFE2L2"
"426","HRAS","CAMK1"
"427","MAPK10","MECOM"
"428","ELK1","MECOM"
"429","HDAC1","MECOM"
"430","HDAC2","MECOM"
"431","HEY1","HEY1"
"432","ARID1B","ARID1B"
"433","CDKN1A","ARID1A"
"434","E2F4","ARID1A"
"435","E2F5","ARID1A"
"436","E2F2","ARID1A"
"437","MYC","ARID1A"
"438","SMARCB1","SMARCB1"
"439","CDKN2A","SMARCA4"
"440","CDKN1A","SMARCA4"
"441","RB1","SMARCA4"
"442","E2F4","SMARCA4"
"443","MYC","SMARCA4"
"444","CCNE1","SMARCA4"
"445","ACTB","SMARCA4"
"446","ESR1","SMARCA4"
"447","ETS2","SMARCA4"
"448","MECOM","SMARCA4"
