"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"ALDH18A1",7.94460042,8.810862423,7.710226915,10.55461064,8.033463657,8.393576457,7.655241071,7.705712726,7.973129135,8.731938407,8.292270749,8.134055574
"ALDH1B1",7.047227958,8.38394541,7.055923875,6.219143151,6.9024034,6.88310454,4.830450059,7.800472728,7.07212434,5.322971324,6.775703989,7.107903126
"ALDH2",11.94185107,12.76952864,12.35773002,10.16309914,11.83340493,11.44609261,11.97486197,12.60695312,12.95562115,9.860882991,11.99014642,11.82118996
"ALDH6A1",11.45471982,11.47910379,11.18044051,9.364340565,10.83787404,11.3883764,11.65649354,12.44402964,12.31991831,7.849215471,12.15477543,10.45537093
"ALDOB",14.94379634,14.36877115,14.52325563,12.20234792,14.39368931,14.76792872,15.30532618,15.30532618,15.09185498,8.372896167,14.91808255,15.19076697
"ALG6",8.276173503,7.122930301,7.575346666,7.966987868,7.34708592,7.773279479,8.953424216,7.53342004,7.780525666,7.204559852,8.261511321,8.126563104
"ALPL",9.634658768,8.408466072,11.5751465,8.508516758,11.3322159,9.808518859,11.74550163,11.20845985,10.68836516,5.280612717,10.61150995,7.851122415
"ALYREF",9.292335503,7.662787565,7.980163889,9.963493753,8.101904622,10.60006031,10.08263224,8.609132433,8.29318755,9.00662177,10.07945735,8.976398012
"AMBP",10.92233866,9.864484129,9.614103234,9.491019983,9.48082796,10.09119906,10.22879373,10.97326186,10.92636592,7.555637298,10.63859348,9.936291297
"AMDHD1",11.70764002,10.60715666,11.97486197,8.558175479,10.01015587,11.18044051,11.66472576,10.59265949,10.87591402,6.745450891,9.921271089,9.790040853
"AMZ2",9.755059601,10.07132433,10.05109009,10.39260308,10.42352236,10.91503943,9.969340238,9.814761552,9.882403744,9.901046504,10.50304035,10.28988199
"ANAPC11",10.38183281,9.420821114,9.107520103,10.23764088,9.419574987,11.36718167,10.33998736,9.709650506,9.537620301,9.279665168,10.9785475,10.08420818
"ANAPC5",10.88372539,10.98636934,10.58384328,11.78009053,10.57054051,10.96074468,10.60006031,10.14292744,10.46803941,11.1351308,11.08788917,11.29634348
"ANAPC7",5.722044514,5.033474727,4.92862674,6.690256431,5.531357299,5.853747318,5.673218255,4.89815686,5.208385322,5.903903293,5.944414181,5.862496796
"ANGEL2",9.86782577,9.265332941,8.562553845,8.874879199,8.519520661,8.673904409,8.933591819,8.479135132,8.964947313,9.81003396,9.507966572,9.102099358
"ANGPTL1",4.624063468,4.501713133,4.510624154,4.533133416,5.574670961,4.604318647,4.572417989,4.46835304,4.559228865,4.60745933,4.678601541,4.563493184
