"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"CHST4",6.703327912,4.510274843,6.418753868,5.854473547,12.13808008,6.906404075,4.778712925,7.55007479,8.285318983,5.970357186,4.706271698,4.506118004
"CHST7",8.141065084,8.212880435,9.170131113,7.499333484,9.30019769,8.772044794,8.111667222,7.62755192,9.778333228,8.219830393,9.981104891,8.969055951
"CHTOP",9.025847096,8.522572037,8.550257867,9.043019438,8.672438447,9.171925771,9.325000946,8.72993687,8.922310548,10.10963083,9.450602405,8.795949219
"CIAO1",9.993032968,10.05988296,9.671254717,9.770747233,9.353892326,9.292335503,9.461517852,9.253882568,9.674770565,9.697756344,9.564107678,10.19167259
"CIDEB",9.226656508,9.501246378,9.456704279,8.412384767,10.09119906,9.08170473,9.467751532,11.00154071,10.62490192,6.821194261,9.461517852,9.5629169
"CILP",5.370616593,5.581772832,7.833749184,6.099390937,7.145353063,6.368758888,5.627584489,6.300185962,6.671799141,5.855393568,5.885132464,5.309802349
"CIRBP-AS1",4.628158232,5.070776632,5.050068896,4.780540844,4.852769055,4.829306068,4.746218183,5.406505825,4.921339414,5.109789693,5.568076002,5.18012514
"CITED2",7.511433028,7.748639114,8.774339069,8.269811956,8.803726603,7.645371787,8.447178869,7.986347559,8.800274305,7.683212365,7.794000122,7.475677879
"CIZ1",5.077083768,5.345428078,4.772893679,4.97413926,5.092375235,4.719494729,5.447039042,5.005704753,5.009248544,5.185762075,5.233080224,5.219427071
"CKAP2",6.897321006,6.763430802,6.424055255,7.539621606,6.194238531,7.616262989,7.739288955,5.984791679,6.847705347,6.614438915,8.498587761,6.448841853
"CKAP2L",7.331729906,5.97630285,5.156538701,7.598210471,5.230924178,8.607037044,8.000277718,5.466961826,5.199772386,6.930221227,9.075727341,7.011387845
"CKAP5",9.427608213,9.752382632,9.23800965,10.84661071,9.243029015,10.57965443,9.812030521,8.984172075,9.118756824,10.47727467,10.32137183,9.891343784
"CKS1B",10.1656034,9.523725243,8.9614073,11.12087662,10.11514585,11.64372344,11.12956435,9.863057319,10.46305779,11.32922524,11.95974423,9.350855763
"CKS2",10.16641352,8.952884749,8.116040302,10.25604284,7.664619175,10.77968468,9.621876053,8.51304993,7.858128735,8.341021208,9.802859905,8.734896804
"CLC",4.709211118,5.129419363,6.306391867,5.083693961,5.901942183,4.785606644,4.912130519,5.630161653,6.204498608,4.777657962,4.771336656,5.448531557
"CLEC4M",4.443137413,6.997071541,6.0949066,4.77286587,6.074186617,4.938596731,4.607064041,6.867592742,7.526103166,4.550409876,4.522413939,4.570746594
"CLGN",6.69337888,5.61332647,5.011400289,4.892980718,4.61834296,4.918246707,5.534421965,4.706607887,4.574067794,4.585002706,4.648507699,5.971344723
"CLIC1",9.640052728,9.969340238,10.93193415,11.66277881,10.78783991,9.99969438,10.65585892,9.957049029,9.248093517,11.72169177,9.486007686,11.02431169
"CLK2",8.068154132,7.998310403,7.852656675,7.948089231,8.536869759,7.821544292,8.118788277,7.55244132,7.768699277,8.690387781,8.263222956,8.139689278
"CLOCK",7.007079957,8.277506065,7.585353305,6.534596493,6.404354167,6.785969236,6.690603218,7.580538761,6.824212386,6.46951005,6.970777482,6.708541703
"CLTA",10.64506245,9.705252578,10.82232474,11.97705315,10.64054973,11.03298934,9.874370193,10.48007501,10.22240262,11.23024972,10.61923232,10.97443439
"CNDP1",4.771891338,4.583146711,6.203161044,5.223796415,6.485533052,4.917529389,4.799284938,9.20548056,8.23873761,4.55640895,5.687305181,4.603888762
"CNIH4",10.56209027,9.641349829,9.335020415,9.243029015,8.821612445,9.71892722,8.702645775,8.425874964,8.506747847,8.587231411,9.718284963,8.22680302
"CNOT1",10.26618982,10.53664973,10.56107612,10.82116823,10.47636175,10.44577215,10.49706907,10.61808681,10.6989673,11.40272892,10.49610767,10.93193415
"CNOT10",7.709563191,7.69252298,7.214711506,7.941322056,7.506015434,8.215431108,7.542568098,7.533055514,7.655587339,7.690640251,7.90366542,7.752918477
"CNOT3",6.361871686,7.089676017,6.263495998,7.830796688,6.264619597,6.791841378,7.185575807,6.106190111,6.319642292,7.649073327,7.067377547,6.933306058
"CNOT4",8.324828058,8.978979469,8.372482934,8.357110368,8.40341475,8.542835145,8.939925518,8.400089384,8.219418992,8.481396871,8.759712787,8.503180521
"CNOT6",6.524145692,6.920203189,6.471649954,7.763197862,6.397673427,6.884948241,6.671799141,6.525929981,6.241436478,7.479360733,7.07318149,7.5230267
"CNPY2",9.975596942,9.531473231,9.029608,10.11985492,8.729467157,9.809235041,9.253273606,9.403648616,9.062503713,8.562216407,9.611048679,8.779022862
"CNTFR",5.385709524,4.85367348,5.051009737,6.35640335,6.193046324,4.861085076,8.685883364,5.271965741,7.3106807,5.945860349,4.921441105,8.052924302
"CNTLN",6.933306058,6.214796284,6.456547712,6.141882797,6.183237646,6.822160069,6.828046499,6.632832536,6.495634865,6.052073536,7.460474569,7.714946424
"CNTN4",4.627597419,4.575172277,4.835599502,4.760811212,5.357150457,4.728041082,4.853482915,4.758057495,5.063628544,5.778357741,4.603875632,4.714864024
"COG2",9.248093517,8.310435415,7.747175479,8.442833083,8.486159418,8.20023807,8.86832806,8.152115762,8.225132522,8.797834303,8.645586967,8.215021704
"COIL",8.373783893,8.33461274,7.823501522,8.879350385,8.397939194,9.126499385,8.553557385,8.014167212,8.061582156,8.812875238,8.777569928,8.860301798
"COL15A1",7.782796519,6.000372816,6.698436988,6.980944496,6.846561819,6.715166392,8.527255352,6.627513321,5.358847635,8.851197706,7.237968577,7.511073351
"COL4A1",11.87411981,11.71585916,11.73780623,11.32608155,11.19824188,10.88498318,11.99242827,9.877316338,9.953214499,13.19345836,10.5229167,11.42824923
"COL4A4",4.623837294,4.973473808,5.099409346,4.489079848,5.497989636,4.435779541,4.511167922,4.470261169,4.800103126,4.677258037,4.451432395,4.851738957
"COLEC10",4.471920379,5.345277198,6.847456094,4.718241933,7.514569955,5.750353181,4.558093871,6.639395798,6.782869027,4.928261451,4.498747003,4.515646138
"COLEC11",9.908438719,9.56225155,11.9353105,8.736300764,12.37569255,9.573998358,7.474990284,9.674019747,10.34803781,10.16889676,7.969597126,9.509148788
"COLEC12",5.562306962,6.220605975,7.29041572,7.327851977,6.315551565,4.772258172,6.419094546,5.187874419,4.915438382,5.814336333,4.485864655,4.574224747
"COMMD5",9.529783601,8.558175479,8.905371315,9.998888311,9.152977191,9.314228087,8.381727908,8.818175404,9.011346306,9.468294418,8.85836474,9.097247248
"COPA",11.3372086,10.9173013,10.5664076,12.08035946,11.00154071,11.23186978,11.49233104,10.84785674,11.21198685,11.44745934,11.68838468,10.81545456
"COPS6",9.277382618,8.292789441,8.152115762,8.764441045,8.788271967,9.655214089,9.619844067,8.697809402,8.540134972,8.813881365,8.85790301,8.80128757
"COPS7A",10.07714853,10.3287853,9.840751737,10.66107672,10.46102591,10.26258075,9.952536399,10.19167259,10.11761171,10.46714421,9.496102283,10.58384328
"COPZ1",9.697129654,9.141677008,8.805531038,10.03719986,9.766044334,9.926035524,9.680033681,9.370006488,9.424284733,10.27173295,10.17822917,9.979419874
"CPA3",5.585652483,4.985507706,5.980993756,4.875185178,8.709617715,4.513661899,4.545658547,5.708848425,6.789930374,5.59715904,4.761784995,7.524738827
"CPN2",11.13372346,12.554639,11.55684142,11.75909982,11.59414803,11.54388908,12.30905425,12.72121247,12.81019832,5.127067836,12.94705689,12.24322964
"CPNE1",7.827047112,9.318902268,9.847324246,9.85869271,8.731374953,9.342729956,9.261061557,7.823501522,8.911644414,9.818234928,8.280401403,8.919771722
"CPNE3",10.79030763,10.31503301,9.827952219,10.3827168,10.15204325,9.932543603,10.48422095,9.90690419,10.19912001,10.72823753,10.21884659,10.07635052
"CPPED1",4.837119327,4.760983207,4.901381393,4.575347969,4.713900168,4.642848434,4.657131888,4.702522663,4.708716278,4.606517392,4.619771886,5.15080665
"CPSF1",8.819200592,8.334156636,8.982109911,10.29614202,7.991040744,9.03997684,8.314715599,8.700712897,9.014859552,10.32961794,8.844915115,9.439208024
"CPSF3",9.215545539,8.430067441,8.647430605,9.420821114,8.452738291,9.335584176,8.666543772,8.2664752,8.42049875,8.207279872,8.736794916,8.593783573
"CREB3L2",9.441069561,10.38085608,9.570108506,11.19824188,9.486007686,10.04461698,9.977163629,8.87034861,9.477793142,10.48810068,11.02130437,10.34608255
"CREB3L4",5.348210309,5.138696131,5.01108898,5.091599882,5.021357048,5.700647051,5.101389478,4.523651056,4.956741341,5.089234312,5.782660463,4.915104094
"CRHBP",5.322683159,9.112870576,10.62395557,5.996932237,8.947766955,7.273313302,5.409065028,9.495470916,10.24137172,4.943623817,5.273757515,5.151315882
"CRTAP",7.497502896,7.634423352,8.129313493,7.593864515,8.79168644,8.126971825,7.45458515,8.028632562,7.760547135,8.448934847,7.433256103,6.938153611
"CS",10.27250198,10.6351313,10.60817269,11.49418533,10.78074702,10.7098517,11.2240561,10.40486524,9.961943316,10.95811895,10.51876191,10.1942386
"CSE1L",10.14973345,10.48608847,9.167668807,11.47213477,10.15705234,9.99444327,10.87970951,9.758456089,9.901046504,10.83904859,10.47909061,10.3886468
"CSNK1A1",7.755465006,7.897226148,8.006293001,7.876501702,7.980972249,8.180866639,8.030089841,8.687847505,8.215829481,8.33616641,8.333281189,7.705065365
"CSNK1A1L",4.627252754,4.711389051,4.622753618,4.856397099,5.063717939,4.997874592,4.962247274,4.850659427,4.973940344,4.959383644,4.846244231,4.827155926
"CSNK1D",8.746479437,8.581063502,9.24467186,9.789411721,8.340159447,9.665871852,8.814936658,9.150787595,7.825502647,8.753882952,9.334350382,8.883064568
"CSNK1G1",6.896671602,6.912929807,6.715526187,7.068055903,6.805290664,6.734847402,7.025952536,6.187555165,7.074162635,7.812081736,7.443643728,6.795150363
"CSNK2A1",7.199300877,6.432504095,6.383117394,8.28755219,7.308811212,7.902093499,7.64463915,7.29411756,7.343130924,8.180866639,7.780170276,7.501763611
"CSPP1",8.601169285,8.057526556,7.645371787,9.317708166,8.025943762,8.132426218,7.897924023,7.762432054,7.812500176,11.5919422,7.958865329,8.296869831
"CSRNP1",10.23577957,10.21267557,11.49745602,9.582365624,9.957750866,10.05988296,9.839216374,11.79308178,11.37786572,9.977940511,9.733311964,9.136162559
"CTBS",8.549847954,7.301774236,8.93636238,7.513550222,8.904353461,8.033463657,7.62755192,9.433360399,8.529526575,7.377462205,8.150549339,7.281633266
"CTCF",7.311676557,7.215358204,7.509653692,8.539309098,7.928350342,8.219830393,7.925780896,7.772905216,8.246896031,8.486534581,8.120710801,7.91644615
"CTDSP2",9.977163629,10.35351551,9.959418312,10.50829219,10.1800848,10.35623662,10.24665707,9.933966094,10.09974923,10.95300783,9.933966094,10.73181237
"CTH",10.66593065,11.11246665,12.53014771,8.092361854,9.289719248,10.79635458,12.21728884,10.55800258,11.14283199,5.294313373,11.06038599,7.325876385
"CTNNA1",11.26020386,11.86733068,11.35169469,11.30728357,11.38147746,11.46264286,10.92636592,11.4491347,11.33365283,12.26591207,11.00555214,11.78009053
"CTNNB1",8.272242723,8.097161938,7.841992438,8.551522216,8.083203902,8.364360021,7.744637516,7.984081617,8.707724179,8.637423327,8.381290223,7.914477872
"CTNNBL1",8.509437012,8.755814367,8.628726026,8.960973145,8.700712897,9.162253686,8.485670858,9.408827077,9.353290035,9.321453402,8.98923603,9.021667709
"CTSA",10.50005159,10.2838953,10.903895,10.29976528,10.10062075,9.418494586,10.29976528,9.692353358,10.02657224,9.593215277,10.16309914,11.03438457
"CUL4A",9.615980262,8.976914762,8.663704704,9.523725243,9.017923506,8.709617715,9.554340771,9.572760221,9.619258644,9.535871706,8.275714204,9.446083389
"CUL4B",6.546775831,7.358370036,6.709204717,7.391394679,7.226405746,6.782869027,7.398764904,6.338883087,6.619123419,6.841485014,6.896998387,6.57921518
"CUTA",11.96658374,11.61847188,10.89369289,12.04428436,11.75525569,12.09790659,12.16832846,11.66848304,12.06635867,12.18750595,12.28540314,12.67373701
"CUX2",7.607918593,7.097636879,6.322674936,5.69881915,6.167903173,7.493388009,8.037011359,9.44801572,8.792607851,5.732132917,7.665353976,8.290415469
"CXCL12",7.309144262,8.638815216,10.46915341,10.09426233,11.56062208,9.284584407,5.529700424,10.06543971,10.78526957,9.234852387,6.88380092,8.595471987
"CXCL14",4.984955948,6.361568207,6.93751777,5.642777492,8.234597327,6.612921151,4.953726085,8.044943113,8.456888505,7.375833541,4.895140808,5.010507014
"CXCL2",8.906440963,8.674447884,9.132845357,6.474819739,7.481060727,7.729200707,8.114025895,10.18325484,9.376850049,5.454139948,8.882001939,8.114480354
"CYGB",9.30125656,7.191212833,8.505859414,7.899784776,9.371707673,8.219026582,7.608263451,8.299928763,8.280401403,8.651959124,6.608702369,8.971602176
"CYP1A2",5.299956655,8.172074576,8.440716761,9.051902519,7.378595709,10.64054973,4.795676219,9.805727211,12.786411,4.665642729,4.789237112,4.637329099
"CYP26A1",5.814730606,4.737778932,5.83366539,5.795842948,7.23233155,7.152531801,4.89859605,7.765830985,7.686966918,4.78155307,5.183571453,4.77440153
"CYP2A6",7.398333897,7.89174129,7.635501926,5.634879524,10.16889676,10.71458291,8.670659752,10.27761025,10.26448811,4.778199117,9.772682619,10.47027852
"CYP2A7",7.742837586,7.571801374,8.041023965,5.036644133,9.368764881,8.208031946,7.010783391,8.839835425,9.00509326,4.827961756,8.326561565,8.582692809
"CYP2B6",4.971926903,5.38984631,6.288011623,4.610165975,7.518973856,5.058974231,5.271398007,7.505401139,6.300502824,4.641475545,4.94529121,4.980155823
"CYP2C19",5.611015215,5.946652056,6.522585822,5.484301727,5.347892432,7.329595174,5.42129,6.824820359,7.349267877,4.779940093,7.144075852,8.14153795
"CYP2C8",11.58252047,13.17576502,13.20762628,9.773345235,13.58877583,13.28216046,13.18503779,14.02127598,14.34628795,9.49355499,13.61407801,11.98832525
"CYP2C9",12.26591207,10.17911887,11.87186683,8.847746389,12.65386471,10.59483434,11.20845985,13.32023584,13.13999256,7.396852798,13.18503779,11.41448547
"CYP2J2",11.59771827,10.71560419,10.53664973,10.08575815,11.10470356,11.93977022,11.03999024,12.47852729,12.2636561,6.680646492,11.28297373,10.2846831
"CYP2R1",7.561319711,7.361121173,7.542568098,7.586786335,7.161031349,8.013007611,6.892684212,7.114827867,7.03758925,7.685528618,7.931422618,7.634032721
"CYP39A1",6.529949736,5.416017593,5.404217112,6.074444602,7.906262809,6.221833441,5.841646383,9.199075769,9.355569283,4.865764813,5.437029894,5.982503879
"CYP4F12",7.938605991,10.63399995,9.786659358,8.616701519,8.866868681,8.728121676,10.76373517,10.66000064,10.72251025,8.732912495,8.392392006,10.29897542
"CYP4F3",4.568554507,4.479389954,4.469122669,4.528868087,4.550591767,4.415970564,4.559918307,4.558645495,4.533144426,4.577757093,4.771788739,4.56570985
"CYP8B1",6.264926662,10.09193899,11.97908712,9.456704279,12.31991831,10.30324346,9.264287355,13.06763298,12.45282943,5.174865309,12.69741312,11.23664227
"DACH1",5.255846654,5.063282509,6.402297777,5.637529125,6.616675051,4.977992968,4.878116994,6.142365026,6.515647112,6.081395497,4.57069935,4.676487484
"DAP3",10.27173295,9.506231106,9.465880471,10.79504013,9.841422328,10.48422095,10.42756832,9.760517574,9.876538238,10.11042737,10.16817303,9.612930756
"DBF4",4.764227145,4.703123105,4.546512211,4.609207034,4.66507743,4.897345863,4.818712511,4.489141668,4.517275409,4.589642309,4.47017129,4.640128494
"DCAF11",8.904353461,9.232769952,9.642076762,8.230596632,8.502747501,7.976193238,8.804211815,9.487336531,9.291285751,8.329099485,9.138905606,9.303595472
"DCAF12",8.60417778,7.98281335,8.17933374,9.105340343,8.27264005,8.573411189,7.704647778,7.733851007,8.109656179,8.580667692,8.440716761,8.910549719
"DCAF13",5.43738596,5.167883546,4.798061296,5.612701159,4.806689961,4.755555184,4.954207987,4.625720487,4.586861414,4.761638596,4.635594946,4.902629235
"DCAF7",8.491806919,8.85790301,9.030142327,9.411829885,8.561388594,9.524865529,8.850693628,8.296489794,8.679159338,9.445506498,9.415890843,9.290785364
"DCK",7.161031349,6.259865032,6.835908645,6.324113681,6.891478907,8.156349835,7.771502525,6.576435631,6.771727138,7.463375457,7.861169994,7.304613497
"DCN",10.13695436,11.1351308,13.33950589,11.07835946,14.70576835,12.62865821,10.2017349,13.19345836,13.34910697,13.74239459,9.677346677,11.05547459
"DCTN2",10.31587028,10.05344095,10.44577215,10.79030763,10.89245766,11.16503444,10.48211985,9.995202898,9.960182209,11.37180102,9.965964091,10.52185796
"DCTPP1",8.763994007,8.284480001,8.258797569,9.861628059,8.996365531,10.05190951,9.737452706,8.556806808,8.946639301,9.690360142,9.170854123,9.167143202
"DCUN1D3",7.858847053,8.935406641,8.751428284,8.018148706,8.915157148,8.804727744,8.564910363,8.850693628,8.80842887,8.098780961,8.157956698,9.211939163
"DDB2",5.657854187,5.023896216,5.125782329,4.819470229,4.951773008,5.744014745,4.700906692,4.967387409,4.912630078,4.855062905,4.912728455,5.530932868
"DDX20",5.092552127,4.983458434,5.076433812,4.613429889,4.588531743,4.800133128,4.971589856,4.631646296,4.738576598,4.617938237,4.471482374,4.595700362
"DDX39A",10.25326393,9.914476073,9.899637984,10.11284531,9.46092105,10.43051047,10.07788138,9.144420905,9.274088309,11.03148316,10.18325484,10.25122725
"DDX46",8.411184351,7.508232394,7.120804478,7.52069633,7.160506196,7.642262967,8.023054939,7.785898041,7.294816901,8.54857993,7.728783927,8.206027635
"DDX50",8.047469984,8.045766345,7.961904819,8.310025053,7.855096875,8.386977066,7.152247746,7.523692722,7.51933897,7.671567835,7.74834726,7.486035658
"DDX55",8.440716761,8.736794916,8.467349862,9.044575204,7.567808383,8.455007541,8.748954428,8.14737731,8.243684929,8.434644276,8.418693476,9.681285594
"DDX56",9.445506498,9.728972989,9.277382618,9.976400601,9.054747609,9.81003396,9.852047347,9.684020751,9.274698654,9.491019983,9.518165991,9.821993375
"DEFB1",12.01759687,10.4157311,11.268875,11.2733277,14.40421508,13.96335229,11.21524785,12.27942591,12.68048571,14.02127598,14.14098906,13.02315977
"DEK",9.603433501,8.246896031,8.03385517,8.035460096,7.705400237,8.114868605,8.740008806,7.688423156,8.04145831,8.442833083,8.350877551,8.347101502
"DENND5A",9.633971355,9.808518859,9.941936302,10.13695436,9.476644969,9.86782577,8.92600854,9.398137291,8.921301889,10.14378926,9.131581969,10.01189121
"DENR",9.563491498,10.21176752,9.7459563,10.61808681,9.598815413,9.485308604,9.661154401,9.043589797,9.193551152,10.38469437,9.65449513,10.59891882
"DEPDC1B",6.395036414,5.419702224,4.609575136,6.959383867,5.326962129,7.575346666,5.570347602,4.531290545,4.689761996,5.898458147,6.785385602,5.722883819
"DEPDC7",6.744856054,7.424433465,7.357952513,5.83013987,6.399726452,6.551784433,6.081130306,8.398292464,8.262813882,5.271098991,7.311352438,6.006469287
"DESI2",8.94143836,8.315525283,8.196755068,8.462480327,7.974327165,8.205134521,8.904925231,7.861169994,7.80123734,8.473911511,9.173557468,7.860421531
"DFFA",7.126150551,7.708871421,7.435661111,8.304984056,7.975506237,7.313448081,8.528152643,7.568103702,7.781248959,8.315125137,7.995987221,8.041023965
"DGKQ",7.501369744,8.363889599,7.578378118,7.876152673,6.786595644,7.421887521,6.783173974,7.051009167,7.354727978,7.23698217,7.530996502,7.667959706
"DGKZ",11.56604701,10.35721809,8.035460096,12.76284089,8.56445178,12.39439381,10.05344095,7.031113398,8.260286193,10.17822917,8.653761856,8.951854737
"DHODH",6.846561819,5.003806375,5.713300001,6.264351379,6.848310489,6.037612302,5.744014745,8.779464965,6.796647296,4.731787838,6.608401169,5.243274693
"DHX16",8.93636238,8.783135168,9.041916061,9.03216499,8.674920317,8.497727316,9.087377562,8.600737207,8.953424216,10.01955302,9.175704622,9.22504869
"DHX30",9.170854123,8.875416465,8.203160429,9.269288898,8.456455436,9.108497485,8.265689973,8.890614981,8.747872166,9.717627914,9.035922276,8.946639301
"DHX35",7.529656986,7.755465006,7.396852798,7.435280387,7.141908359,7.179491233,7.777553178,7.175186335,7.141599532,7.763885398,7.443279291,8.156349835
"DHX57",5.197736652,5.445398859,5.86176098,5.211791695,4.919364728,4.891040232,5.214487172,4.777631253,5.243801132,6.039671707,5.102781261,5.681893878
"DHX9",7.215725161,6.05261743,5.97991088,7.11784808,6.744300479,7.611223704,7.33892735,7.06319746,6.447164134,7.552797555,7.315043651,6.476637904
"DIMT1",9.143284207,8.841924989,8.98049777,9.335584176,9.311927734,8.932500085,9.144876835,8.921301889,8.699166839,8.824911449,8.415225023,8.840848898
"DIRAS3",4.747339802,4.652832165,4.835891756,4.664658667,5.69518379,4.822933365,4.530543328,7.46412446,5.130556388,5.29444994,4.97554177,4.922490365
"DISP1",7.507915038,8.103460423,7.193515118,5.531143648,6.644540522,6.317821602,7.448168152,6.510949713,7.575009026,5.771844286,6.450886156,6.08776945
"DKC1",8.978466042,8.916102171,8.39672656,10.99624612,8.978466042,9.533404967,9.428245617,8.958035321,8.865903901,9.467132238,8.839392816,8.82307051
"DLEU2",5.273458363,5.762481447,5.018438044,6.298204914,4.902375283,5.375805664,5.651284464,4.766786847,4.752363878,5.340063508,5.582343096,5.460537295
"DLG5",4.581891614,4.515102963,4.621008967,4.932853518,4.545478569,4.57256858,4.749609588,4.408662702,4.584150565,4.790742397,4.490560817,4.717431537
"DLGAP5",6.68370935,5.466577034,4.87404679,6.663346986,5.142177791,7.075859092,7.304430346,4.944769059,5.599511489,5.338978114,7.615893254,6.118068365
"DMGDH",9.030669985,8.766798878,8.307885617,6.626604264,8.038160702,8.469125033,8.624001162,10.34432673,10.49916979,5.018954579,9.145400983,8.638383976
"DNA2",6.22085831,6.011383299,6.575495487,6.202858683,5.512018935,6.338039981,6.489787491,6.479295684,6.301132264,5.800209603,7.166981716,6.17938857
"DNAH14",4.904913394,4.960375779,4.900982475,4.990636048,4.978823279,4.8882194,5.063282509,5.056294652,5.437715376,5.021919842,5.200479786,5.112677189
"DNAJC14",6.690256431,7.098012408,6.519050677,7.126908296,6.807632787,6.733622139,6.788162458,6.786278892,6.675616623,7.217335251,7.482804725,7.12323506
"DNAJC2",4.723675185,4.499262672,4.515159453,4.801726139,4.477999846,4.680516052,4.842532382,4.455564502,4.52813813,4.486332413,4.483958588,4.599164861
"DNAJC25",8.062388382,8.119161977,8.234948872,7.168601803,7.685174718,8.253385039,7.965779275,9.066047628,8.771544194,7.150641716,8.59289709,8.786808154
"DNAJC5",6.508220047,7.142499018,6.588587773,7.788782838,6.321332071,6.714567492,7.303127319,6.405872224,6.319077923,6.502146223,6.541618763,6.912658675
"DNAJC6",4.665784535,4.745914561,4.71462985,4.68275562,4.681938397,4.571449779,4.787039801,4.767060756,4.662155343,4.701714498,4.648246622,4.664791709
"DNAJC7",7.600768949,8.190100074,7.562378141,8.306606429,7.656273281,7.383165777,7.559168959,7.373517157,7.151268899,7.516109262,7.367732941,8.018829088
"DNAJC9",9.592642846,8.774813708,8.307013745,10.13541866,8.560939763,10.50210444,9.609645294,8.734376403,8.813371197,10.2076469,9.952536399,9.694257832
"DNALI1",7.825921894,7.969597126,7.458435485,7.111627845,8.964947313,8.349633144,5.965971559,8.275714204,8.370762512,9.014859552,8.641561236,7.53789952
"DNASE1L3",8.364747876,10.56209027,12.64465502,8.265245296,10.97165458,9.336792925,7.332750512,11.16970962,11.82118996,5.198352669,8.468276858,8.38303752
"DNM1L",7.773279479,6.915000976,6.996140327,8.076654858,7.245523579,8.448118069,7.404275606,7.420944413,7.509297871,8.275312567,7.966209477,7.297285552
"DNMT1",10.72491558,9.835703299,10.15885081,10.43643651,9.689689708,10.95432279,11.13231417,9.30600966,9.965098474,11.57875916,10.67382314,11.39441485
"DNMT3A",4.926783153,4.857570278,5.332684817,6.283883654,5.181750313,4.856814864,5.253337638,4.69098388,4.780656731,5.001159082,4.693006099,4.987851949
"DOCK5",5.878704538,5.251872629,6.293711104,5.213843957,5.823184113,5.781892027,5.33423816,5.579943213,5.817060412,5.509173349,6.08033782,5.719972525
"DONSON",8.114868605,6.414442252,5.975241166,7.731486705,6.026597041,6.991471002,8.480923209,6.743964236,7.129654909,7.602961479,7.742091649,8.337581057
"DPCD",6.22293771,6.670031609,6.466315922,7.20869231,7.56453584,7.415214579,6.516603703,6.938754714,6.825118106,8.340159447,7.788782838,6.769813242
"DPF1",4.64578674,4.600958542,4.717634078,4.75245315,4.618744256,4.752738801,4.796897663,4.646551097,5.099409346,4.823040612,4.577633172,4.677226883
"DPF2",8.494430086,8.706295186,8.478319282,9.327721992,8.98975672,9.098358239,8.268220156,8.186286021,8.685405503,9.607443433,8.795443478,9.017459711
"DPF3",4.751058691,4.925337535,4.773514639,4.737710315,4.87880049,4.633397153,4.713049758,5.25933036,4.65012849,4.5877267,4.651013382,4.677112404
"DPM2",7.484997945,7.657632871,7.23233155,8.849723001,7.525126693,8.500499555,8.47961753,7.579855791,7.098338377,7.35682811,7.703590158,7.832284176
"DPM3",10.93297983,9.098877525,9.451219733,8.93636238,9.99969438,9.933966094,10.63182321,9.23749541,9.361716642,9.641349829,10.60931816,9.226656508
"DPP8",7.493722493,7.735832233,7.335094048,7.409648015,7.288907614,6.497944154,7.601486919,7.068055903,7.848845116,7.775229556,7.751138259,7.899784776
"DPY30",9.927379305,9.115582942,9.123686693,10.06221896,10.02738098,10.12646108,10.86932455,10.08653318,10.02979777,9.85032107,10.35440957,9.546253824
"DR1",6.463112556,5.818979027,6.292031845,5.809052959,5.704712225,6.83345653,5.713069492,5.615592169,5.354718441,6.366159792,6.555073966,6.400579484
"DRG1",9.589982123,8.931997153,8.705417195,11.44609261,9.771508754,10.3415596,10.2439689,9.38045763,9.190552168,9.517492194,9.869263508,10.05268466
"DROSHA",7.763885398,7.437341176,6.923152,7.741372736,6.910498501,7.028872305,7.235421351,6.746074419,6.86283593,7.29006229,6.963601434,7.553583166
"DSE",7.054679314,7.367031538,8.625876337,7.099906734,9.289098906,7.473275438,6.650130699,8.242469526,8.406348496,8.949393757,6.626604264,7.415569936
"DSN1",7.817714514,6.190065643,5.864262178,6.625669628,5.771079847,8.19249125,7.652059816,6.176376731,6.586400972,6.212539834,7.608961547,7.764654524
"DSTYK",7.675363444,7.520065689,7.367412302,6.784747432,7.514229,7.066803648,7.145738251,6.075809989,7.293801162,8.667903657,6.751298714,6.445418519
"DTL",6.927020612,4.92400784,5.306281204,5.950418048,5.003587365,6.683365633,6.235842529,5.259947405,5.211914137,5.453588049,6.410105586,5.57609198
"DTX1",5.552176636,7.455270273,5.865377128,6.99088957,5.184766986,4.627378652,4.642443474,6.9024034,5.584486718,4.863728094,5.016696994,7.392147943
"DTYMK",8.601584238,6.61938833,6.54348464,9.651106922,7.552797555,8.444087558,9.617304203,7.599662952,7.789175278,8.164787671,9.693565895,8.210862838
"DUS4L",7.288907614,7.10318503,6.555757095,6.958473632,6.921138892,6.908641697,6.655248,7.191859606,6.902093778,6.852726478,7.20869231,7.071205493
"DUSP1",13.36997791,13.50109383,12.90898364,10.85688608,12.87882934,12.44402964,13.83273195,13.25882784,13.78332094,12.90165276,13.52791976,13.48980568
"DUSP12",9.475401351,8.75829495,8.344166616,9.089380886,8.532607713,9.496667077,9.013900629,8.136032084,8.401340796,9.46092105,9.267055048,8.307885617
"DUSP6",8.1916613,8.416850076,9.2440484,7.955386208,7.244231687,7.084315916,6.653074409,7.434013969,6.311970652,6.568620978,6.071705734,7.802330584
"DUSP9",5.056212847,4.561150071,4.62112323,7.665754971,4.821722172,4.576373796,6.627513321,4.574628278,4.774322349,4.822567439,4.483295931,8.058787461
