"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"ADRA1A",6.186487638,6.121051895,6.398569951,5.128326843,6.44634253,6.949030418,6.651992242,6.89996897,5.728812987,6.093031083,6.526781174
"ADRA1B",7.617317157,6.167643309,7.303756957,6.91413391,8.259772389,7.082756416,7.778248211,7.829197506,8.362224501,7.698075124,7.558058124
"ADSL",9.912887824,10.55890196,10.23222608,9.90331569,9.983959385,10.03068256,10.28186205,10.04785899,10.06895432,10.17822917,10.25604284
"ADSS1",10.56107612,9.245245704,8.851197706,8.540134972,9.606544623,9.679317979,9.49996051,10.87312872,9.161746781,9.560882994,9.65733731
"AFP",8.705843276,8.348415502,9.784635808,9.164975991,7.709563191,7.663528367,8.161817602,9.141677008,7.391062659,6.132234693,7.536544032
"AGAP1",6.629038003,6.82546064,6.602676275,8.359161067,7.362783825,7.641947649,7.078529948,6.700028826,7.165055187,7.125102019,6.889946172
"AGAP3",7.875352466,7.898698065,7.527523153,8.130099659,7.902093499,7.77221147,8.352074653,7.716475081,7.57767724,8.34545371,8.117933437
"AGBL5",6.651992242,7.602961479,6.982151276,7.573839547,7.062494599,7.182240867,6.464896742,6.259865032,7.526103166,7.104469445,6.72651422
"AGGF1",7.848162969,8.172915214,7.610098615,8.400953081,7.763540555,7.810837283,7.807566543,7.789612663,7.487005435,7.602270339,7.803795324
"AGL",9.855107554,9.804974495,9.607157445,9.119258687,10.13151465,9.986412767,9.238644586,9.679317979,9.045174355,10.57290248,10.09042297
"AGPAT2",9.59628788,8.310435415,9.573364142,9.034270856,9.185561505,9.933966094,10.16380693,9.600683855,10.02831153,9.617957454,9.276845682
"AGTR1",9.175704622,8.752439507,9.611670457,7.660180177,8.953424216,9.855828548,9.049847328,9.741661123,9.446083389,9.259962456,9.768001031
"AGXT",14.20890499,14.28450814,14.14098906,14.54445284,14.45056825,14.30445751,14.32467713,14.53460228,13.53843449,14.45056825,14.35779379
"AGXT2",9.796098219,9.959418312,9.993032968,9.827124477,10.15966768,9.60772942,9.316509724,8.435071501,8.810365686,9.720867173,8.755814367
"AHCTF1",8.138075702,8.160780464,8.085152779,8.783135168,7.958064271,7.704332832,7.981993251,8.062388382,7.529656986,8.278310996,8.397094149
"AHNAK",9.337362305,10.15204325,9.486682446,10.08873408,9.822677877,9.368764881,10.20257689,9.617304203,10.09042297,10.47225442,9.746573342
"AIDA",5.960094086,6.323550497,6.1606565,5.986070123,5.46235254,5.96314949,5.710401635,6.099896588,6.05003686,5.227115455,5.533460187
"AIFM2",5.575656915,6.05003686,5.386870883,6.471649954,5.921921858,5.908924041,6.24804973,5.907991369,5.339618162,5.822715386,6.20228271
"AIG1",10.04536919,10.56311003,9.9465261,9.923598403,10.10150818,9.857186517,9.947222287,9.987148495,9.523011287,10.01797362,9.937959313
"AIRE",12.30149299,12.39995413,12.34660898,12.6635191,12.29356131,12.26093921,12.64135404,12.30633688,12.25834278,13.01431451,11.91537009
"AKR1B10",12.30380746,13.97882553,12.02190244,13.00657426,12.63221037,8.069280503,12.3837334,11.01617395,12.67024641,11.09896552,12.72485435
