"","from","to"
"364","PLCB1","AGTR1"
"365","AKT3","TSC1"
"366","AKT1","TSC1"
"367","AKT2","TSC1"
"368","AKT3","TSC2"
"369","AKT1","TSC2"
"370","AKT2","TSC2"
"371","TP53","TSC2"
"372","MAPK1","TSC2"
"373","MAPK3","TSC2"
"374","ELK1","TSC2"
"375","MTOR","RHEB"
"376","TSC1","RHEB"
"377","TSC2","RHEB"
"378","TP53","CDK1"
"379","RB1","CDK1"
"380","BRCA2","CDK1"
"381","GADD45G","CDK1"
"382","GADD45A","CDK1"
"383","GADD45B","CDK1"
"384","TP53","PCNA"
"385","CDK4","PCNA"
"386","RB1","PCNA"
"387","GADD45G","PCNA"
"388","GADD45A","PCNA"
"389","GADD45B","PCNA"
"390","TP53","PLK1"
"391","BRCA2","PLK1"
"392","ARAF","YWHAB"
"393","ARAF","YWHAG"
"394","TP53","YWHAG"
"395","ARAF","YWHAZ"
"396","TP53","YWHAZ"
"397","TP53","PRKDC"
"398","CDK1","CDC25B"
"399","PLK1","CDC25B"
"400","YWHAB","CDC25B"
"401","YWHAG","CDC25B"
"402","YWHAZ","CDC25B"
"403","TP53","CDC25C"
"404","CDK1","CDC25C"
"405","YWHAB","CDC25C"
"406","YWHAG","CDC25C"
"407","YWHAZ","CDC25C"
"408","ELK1","CDC45"
"409","ORC6","CDC6"
"410","AKT3","GSK3B"
"411","AKT1","GSK3B"
"412","AKT2","GSK3B"
"413","IGF1","GSK3B"
"414","TP53","GSK3B"
"415","CCND1","GSK3B"
"416","TSC1","GSK3B"
"417","TP53","CCNB1"
"418","CDK1","CCNB1"
"419","PLK1","CCNB1"
"420","TP53","CCNB2"
"421","PLK1","CCNB2"
"422","TP53","CCNA2"
"423","CDKN1A","CCNA2"
"424","RB1","CCNA2"
"425","BRCA2","CCNA2"
"426","CDC6","CCNA2"
"427","CDK1","CDK7"
"428","TYMS","E2F4"
"429","DUT","E2F4"
"430","SMS","E2F4"
"431","UXS1","E2F4"
"432","PIP4K2B","E2F4"
"433","MTHFD1","E2F4"
"434","GCH1","E2F4"
"435","GGPS1","E2F4"
"436","TP53","E2F4"
"437","CCND1","E2F4"
"438","RB1","E2F4"
"439","IGF1R","E2F4"
"440","FANCC","E2F4"
"441","FANCF","E2F4"
"442","FANCG","E2F4"
"443","GADD45A","E2F4"
"444","PLCG1","E2F4"
"445","TGFBR1","E2F4"
"446","SMAD4","E2F4"
"447","ORC1","E2F4"
"448","CDK1","E2F4"
"449","PCNA","E2F4"
"450","PLK1","E2F4"
"451","DBF4","E2F4"
"452","PRKDC","E2F4"
"453","CDC45","E2F4"
"454","CDC6","E2F4"
"455","CCNB1","E2F4"
"456","CCNA2","E2F4"
"457","SMS","E2F5"
"458","UXS1","E2F5"
"459","PIP4K2B","E2F5"
"460","GCH1","E2F5"
"461","GGPS1","E2F5"
"462","TP53","E2F5"
"463","RB1","E2F5"
"464","IGF1R","E2F5"
"465","FANCF","E2F5"
"466","FANCG","E2F5"
"467","TGFBR1","E2F5"
"468","SMAD4","E2F5"
"469","PCNA","E2F5"
"470","CDC6","E2F5"
"471","TALDO1","E2F1"
"472","UGP2","E2F1"
"473","PDE7A","E2F1"
"474","CAD","E2F1"
"475","TYMS","E2F1"
"476","DUT","E2F1"
"477","AMDHD1","E2F1"
"478","SMS","E2F1"
"479","UXS1","E2F1"
"480","PIP4K2B","E2F1"
"481","MTHFD1","E2F1"
"482","MTHFD1L","E2F1"
"483","GCH1","E2F1"
"484","GGPS1","E2F1"
"485","GSTM2","E2F1"
"486","GSTT2","E2F1"
"487","MGST3","E2F1"
"488","GSTT2B","E2F1"
"489","GMPS","E2F1"
"490","AKT2","E2F1"
"491","BRAF","E2F1"
"492","EGFR","E2F1"
"493","TP53","E2F1"
"494","CDKN2A","E2F1"
"495","CDKN2C","E2F1"
"496","CDKN1A","E2F1"
"497","CCND1","E2F1"
"498","CDK4","E2F1"
"499","RB1","E2F1"
"500","IGF1R","E2F1"
"501","UPF3B","E2F1"
"502","PPP2R5A","E2F1"
"503","FANCC","E2F1"
"504","FANCF","E2F1"
"505","FANCG","E2F1"
"506","UBE2T","E2F1"
"507","DUSP1","E2F1"
"508","TGFB2","E2F1"
"509","RAC1","E2F1"
"510","RALGAPB","E2F1"
"511","ENAH","E2F1"
"512","TGFBR1","E2F1"
"513","TSC1","E2F1"
"514","CDK1","E2F1"
"515","PCNA","E2F1"
"516","PLK1","E2F1"
"517","DBF4","E2F1"
"518","PRKDC","E2F1"
"519","CDC45","E2F1"
"520","CDC6","E2F1"
"521","GSK3B","E2F1"
"522","CCNB1","E2F1"
"523","CCNA2","E2F1"
"524","CDK7","E2F1"
"525","E2F4","E2F1"
"526","E2F5","E2F1"
"527","AMDHD1","E2F2"
"528","SMS","E2F2"
"529","UXS1","E2F2"
"530","PIP4K2B","E2F2"
"531","GCH1","E2F2"
"532","GGPS1","E2F2"
"533","TP53","E2F2"
"534","CDKN2C","E2F2"
"535","RB1","E2F2"
