"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"gene","NFYA","E2F2","BRCA1","ARID1B","TCF3","PTGS2","ACTL6B","SMARCA2","MET","GAB1","ATF2","PLCG1","FOSB","ELK1","SMARCA4","E2F5","MYC","TPMT","ANXA3","TP53","PIK3R1","SHC3","GMPS","SMAD3","CTNNB1","ATF5","FOS","GRB2","IMPDH2","FAF1","ARID2","MZT1","E2F4"
"TCGA-FV-A23B-02"," 7.728416"," 4.744932"," 6.146329"," 7.621685"," 8.245647"," 3.663562"," 2.302585"," 8.176954"," 8.629807"," 7.118016"," 8.013343"," 7.431300"," 7.973500"," 7.830028"," 8.562931"," 5.707110"," 9.015177"," 7.875119"," 2.484907"," 7.696667"," 8.922525"," 4.948760"," 7.895436"," 8.846641"," 9.618668","11.188538"," 9.450931"," 9.505246"," 8.565602"," 7.217443"," 7.282074"," 6.371612"," 7.698936"
"TCGA-DD-AADK-02","6.945051","5.017280","5.945421","7.451822","7.697575","3.688879","3.218876","7.402452","8.601902","5.713733","7.498316","7.957527","5.389072","7.189922","8.659734","6.030685","7.446585","8.446556","4.663439","7.912057","7.748029","4.983607","8.165932","7.144407","9.404343","8.015988","7.421178","8.856946","8.730690","7.739359","6.220590","5.616771","7.284821"
"TCGA-BD-A3ER-02"," 6.3733198"," 3.4965076"," 4.7449321"," 7.2591161"," 7.1147694"," 4.9199809"," 0.6931472"," 7.8339963"," 8.1464193"," 5.4380793"," 7.3132204"," 6.8448155"," 7.1123274"," 7.2152400"," 7.8613418"," 5.1416636"," 7.1212525"," 7.9919305"," 3.5835189"," 7.6439619"," 8.0274765"," 3.1780538"," 7.2413663"," 7.4535619"," 9.0989618","10.0055928"," 8.8477911"," 8.3726297"," 7.4622149"," 7.0561753"," 5.9215784"," 5.4249500"," 7.4685133"
"TCGA-RC-A6M3-02"," 6.811244"," 6.917706"," 6.432940"," 7.323171"," 8.241176"," 4.077537"," 1.098612"," 7.650645"," 8.281471"," 5.676754"," 7.257708"," 6.913737"," 7.685244"," 7.044905"," 8.690810"," 6.357842"," 8.827615"," 7.666690"," 4.418841"," 7.156956"," 6.391917"," 6.056784"," 8.310907"," 7.060476"," 9.071538"," 8.156223","10.521291"," 8.458504"," 8.932345"," 8.026824"," 6.481577"," 6.115892"," 7.885329"
"TCGA-UB-A7MA-02","7.183112","5.351858","6.530878","7.734121","8.092239","4.060443","2.197225","7.072422","7.941296","6.265301","7.612831","7.546446","7.066467","6.972606","9.149103","5.799093","8.167352","6.875232","7.297768","8.725670","6.877296","3.637586","7.761319","8.737453","9.100079","6.616065","7.469084","8.824237","9.090430","7.279319","7.108244","6.008813","7.387090"
"TCGA-2Y-A9HA-02"," 7.317876"," 5.129899"," 6.487684"," 7.761319"," 7.857868"," 2.833213"," 1.791759"," 7.753194"," 9.428913"," 6.538140"," 7.995644"," 8.428581"," 5.257495"," 7.047517"," 8.312871"," 5.634790"," 7.415175"," 8.311153"," 3.135494"," 5.849325"," 8.770594"," 5.318120"," 7.876638"," 8.846785"," 9.696586","11.055498"," 7.246368"," 8.758412"," 8.595080"," 8.505930"," 6.883463"," 6.025866"," 7.321189"
"TCGA-ED-A7PX-02"," 7.5076901"," 5.0875963"," 5.7365723"," 7.4662276"," 8.7876782"," 3.0910425"," 0.6931472"," 8.1074188"," 7.6925696"," 5.8021184"," 7.3920316"," 7.8236459"," 5.1474945"," 7.6980292"," 9.3230439"," 5.1532916"," 7.7419679"," 7.7647205"," 7.6338536"," 7.8343923"," 7.0596176"," 4.2195077"," 8.0067008"," 8.3864009"," 9.1875834","10.0540174"," 7.2562972"," 8.7483049"," 8.1780775"," 7.5626812"," 7.1577355"," 6.4723463"," 8.3291754"
"TCGA-DD-AAEK-02","6.386879","4.304065","5.356586","6.865891","6.895683","2.397895","2.708050","7.264730","8.255569","5.624018","7.072422","7.581210","4.941642","6.218600","7.551187","4.094345","7.095064","7.672758","2.708050","6.562444","8.379998","3.761200","7.074963","7.798113","9.062304","8.531096","7.009409","8.288786","7.207119","6.699500","6.073045","4.997212","6.566672"
"TCGA-ZS-A9CE-02"," 6.573680"," 4.060443"," 5.337538"," 7.010312"," 7.220374"," 1.945910"," 2.302585"," 8.025516"," 8.894396"," 6.304449"," 6.651572"," 6.853299"," 4.948760"," 7.319202"," 8.254009"," 4.787492"," 6.919684"," 8.377011"," 3.218876"," 6.679599"," 9.158099"," 4.454347"," 7.117206"," 7.348588"," 8.986447","10.063947"," 5.393628"," 8.583355"," 8.065265"," 7.791523"," 6.322565"," 5.488938"," 7.261225"
"TCGA-ED-A7PZ-02"," 6.7707894"," 4.9344739"," 6.0776422"," 6.7707894"," 7.4229713"," 4.6443909"," 0.6931472"," 6.2803958"," 8.8162602"," 5.3518581"," 7.0791844"," 7.0967214"," 5.4071718"," 6.9660242"," 7.9352295"," 4.5217886"," 6.8112444"," 8.2327060"," 2.4849066"," 5.5174529"," 7.1412451"," 2.5649494"," 7.8984111"," 7.7384881"," 9.0278588","10.6545970"," 7.3498737"," 9.3699049"," 9.2208846"," 8.2707810"," 6.4281053"," 5.9558374"," 7.7222347"
