"","ENSEMBL","SYMBOL","ENTREZID"
"135","ENSG00000006432","MAP3K9","4293"
"136","ENSG00000006451","RALA","5898"
"137","ENSG00000006453","BAIAP2L1","55971"
"138","ENSG00000006459","KDM7A","80853"
"139","ENSG00000006468","ETV1","2115"
"140","ENSG00000006530","AGK","55750"
"141","ENSG00000006534","ALDH3B1","221"
"142","ENSG00000006555","TTC22","55001"
"143","ENSG00000006576","PHTF2","57157"
"144","ENSG00000006606","CCL26","10344"
"145","ENSG00000006607","FARP2","9855"
"146","ENSG00000006611","USH1C","10083"
"147","ENSG00000006625","GGCT","79017"
"148","ENSG00000006634","DBF4","10926"
"149","ENSG00000006638","TBXA2R","6915"
"150","ENSG00000006652","IFRD1","3475"
"151","ENSG00000006659","LGALS14","56891"
"152","ENSG00000006695","COX10","1352"
"153","ENSG00000006704","GTF2IRD1","9569"
"154","ENSG00000006712","PAF1","54623"
"155","ENSG00000006715","VPS41","27072"
"156","ENSG00000006740","ARHGAP44","9912"
"157","ENSG00000006744","ELAC2","60528"
"158","ENSG00000006747","SCIN","85477"
"159","ENSG00000006756","ARSD","414"
"160","ENSG00000006757","PNPLA4","8228"
"161","ENSG00000006788","MYH13","8735"
"162","ENSG00000006831","ADIPOR2","79602"
"163","ENSG00000006837","CDKL3","51265"
"164","ENSG00000007001","UPP2","151531"
"165","ENSG00000007038","PRSS21","10942"
"166","ENSG00000007047","MARK4","57787"
"167","ENSG00000007062","PROM1","8842"
"168","ENSG00000007080","CCDC124","115098"
"169","ENSG00000007129","CEACAM21","90273"
"170","ENSG00000007168","PAFAH1B1","5048"
"171","ENSG00000007171","NOS2","4843"
"172","ENSG00000007174","DNAH9","1770"
"173","ENSG00000007202","BLTP2","9703"
"174","ENSG00000007216","SLC13A2","9058"
"175","ENSG00000007237","GAS7","8522"
"176","ENSG00000007255","TRAPPC6A","79090"
"177","ENSG00000007264","MATK","4145"
"178","ENSG00000007306","CEACAM7","1087"
"179","ENSG00000007312","CD79B","974"
"180","ENSG00000007314","SCN4A","6329"
"181","ENSG00000007341","ST7L","54879"
"182","ENSG00000007350","TKTL1","8277"
"183","ENSG00000007372","PAX6","5080"
"184","ENSG00000007376","RPUSD1","113000"
"185","ENSG00000007384","RHBDF1","64285"
"186","ENSG00000007392","LUC7L","55692"
"187","ENSG00000007402","CACNA2D2","9254"
"188","ENSG00000007516","BAIAP3","8938"
"189","ENSG00000007520","TSR3","115939"
"190","ENSG00000007541","PIGQ","9091"
"191","ENSG00000007545","CRAMP1","57585"
"192","ENSG00000007866","TEAD3","7005"
"193","ENSG00000007908","SELE","6401"
"194","ENSG00000007923","DNAJC11","55735"
"195","ENSG00000007933","FMO3","2328"
"196","ENSG00000007944","MYLIP","29116"
"197","ENSG00000007952","NOX1","27035"
"198","ENSG00000007968","E2F2","1870"
"199","ENSG00000008018","PSMB1","5689"
"200","ENSG00000008056","SYN1","6853"
"201","ENSG00000008083","JARID2","3720"
"202","ENSG00000008086","CDKL5","6792"
"203","ENSG00000008118","CAMK1G","57172"
