"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","MARCO","TARBP1","ASPM","PABPC1","HMMR","TUBE1","CLEC4M","CAP2","DNAJC6","CFP","ANGPTL6","LYVE1","STAB2","OIT3","CYP1A2","FCN3","PPOX","ECM1","NVL","CRHBP","TIMD4","RSPO3","CLTRN","NAT2","FCN2","DIRAS3","GMPS","DNASE1L3","CLEC1B","MFSD2A","ITLN1","CLEC4G","COLEC10"
"TCGA-BC-A216-00","8.1134266","5.8833224","4.8121844","9.5354627","4.7095302","6.9450511","7.2916562","5.2678582","4.2195077","4.2626799","6.1333980","7.8690194","7.1921821","8.4348979","9.0349150","8.6876108","5.4971682","7.9905769","5.0106353","7.9547233","6.2441669","6.0063532","6.5057841","8.0758936","7.9996786","5.6835798","6.8469431","8.6030038","5.8805330","9.4501444","4.9767337","0.6931472","7.9434278"
"TCGA-DD-A119-00"," 9.283498"," 5.768321"," 3.433987"," 9.705280"," 3.044522"," 6.801283"," 6.971669"," 5.220356"," 3.761200"," 5.298317"," 6.522093"," 8.349011"," 7.914983"," 9.074406","10.809950"," 9.313258"," 5.313206"," 7.930566"," 5.298317"," 8.910316"," 7.325149"," 5.451038"," 5.986452"," 7.634821"," 8.304495"," 5.129899"," 7.122867"," 8.853808"," 6.825460"," 9.625162"," 5.204007"," 0.000000"," 8.030084"
"TCGA-DD-A3A8-00","7.9905769","5.1059455","1.7917595","8.4769960","2.3025851","6.7190132","6.3171647","4.6634391","2.3025851","3.9120230","6.4361504","6.5381398","6.3225652","8.0696553","9.5366180","8.9222582","5.6383547","7.8939451","4.7449321","7.7828073","4.7791235","4.0775374","6.3243590","6.8752321","7.1731917","4.8978398","6.5916737","7.9752208","5.9763509","8.3136071","3.8501476","0.6931472","6.8679744"
"TCGA-DD-A3A6-00"," 4.1271344"," 4.4659081"," 2.3025851"," 8.8768238"," 2.3025851"," 6.2045578"," 3.3322045"," 3.8918203"," 2.1972246"," 0.6931472"," 5.4249500"," 2.8332133"," 2.8332133"," 5.0238805","10.3889954"," 5.7170277"," 5.0106353"," 6.5998705"," 4.1108739"," 3.9702919"," 1.6094379"," 3.8712010"," 6.0112672"," 7.5475017"," 4.0073332"," 5.2149358"," 6.0520892"," 5.3752784"," 2.0794415"," 8.6752221"," 2.3025851"," 0.0000000"," 6.1202974"
"TCGA-DD-A1EC-00"," 8.820404"," 5.739793"," 3.295837"," 9.803004"," 2.708050"," 6.759255"," 7.914252"," 5.451038"," 2.890372"," 4.736198"," 6.663133"," 7.875879"," 7.745868"," 8.599326","10.213579"," 8.232972"," 5.616771"," 8.058644"," 5.332719"," 8.074960"," 6.632002"," 5.545177"," 5.379897"," 7.612337"," 7.711549"," 5.638355"," 7.188413"," 8.561019"," 6.173786"," 9.157256"," 4.663439"," 0.000000"," 8.276649"
"TCGA-DD-A11C-00"," 7.653495"," 5.463832"," 3.465736"," 8.926385"," 2.772589"," 6.838405"," 6.180017"," 4.234107"," 2.484907"," 3.465736"," 5.476464"," 6.740519"," 6.514713"," 7.711997","10.062583"," 7.981050"," 5.099866"," 7.550661"," 4.779123"," 7.445418"," 5.533389"," 4.718499"," 5.560682"," 7.251345"," 6.912743"," 4.369448"," 6.008813"," 7.628031"," 5.564520"," 8.779865"," 3.891820"," 1.098612"," 6.985642"
"TCGA-FV-A23B-00"," 8.429236"," 6.526495"," 4.204693"," 9.946978"," 3.737670"," 7.213768"," 6.194405"," 6.452049"," 4.634729"," 4.615121"," 6.327937"," 7.051856"," 6.712956"," 8.065579","10.701850"," 8.596189"," 6.298949"," 7.888335"," 5.713733"," 8.051341"," 5.459586"," 6.033086"," 6.510258"," 7.715124"," 7.574558"," 5.613128"," 7.051856"," 8.220134"," 5.805135"," 9.048292"," 5.164786"," 0.000000"," 7.688455"
"TCGA-BC-A110-00","8.356320","5.616771","2.564949","9.413608","2.197225","7.134094","7.513164","4.477337","3.526361","4.304065","6.452049","8.144098","6.977281","8.327001","9.674200","8.779557","5.720312","7.680176","5.068904","8.462315","5.236442","4.976734","6.131226","6.862758","8.331586","7.018402","7.147559","8.877382","6.609349","8.968778","3.737670","0.000000","7.212294"
"TCGA-FV-A3I1-00"," 8.182559"," 5.846439"," 3.761200"," 9.837935"," 3.178054"," 7.055313"," 7.239933"," 5.375278"," 2.833213"," 4.430817"," 6.633318"," 7.232010"," 7.424165"," 8.296796","10.401927"," 8.785081"," 5.733341"," 7.670429"," 5.389072"," 8.195058"," 5.590987"," 5.666427"," 5.780744"," 7.765993"," 8.045909"," 5.598422"," 6.729824"," 8.329899"," 6.259581"," 8.572628"," 3.891820"," 0.000000"," 7.410347"
"TCGA-DD-A1EB-00"," 8.721276"," 5.910797"," 3.951244","10.052855"," 3.258097"," 7.529406"," 7.210080"," 5.579730"," 3.044522"," 4.543295"," 6.860664"," 7.778630"," 7.289611"," 8.400659","10.820518"," 9.095491"," 5.983936"," 8.107419"," 5.673323"," 8.572628"," 6.287859"," 5.375278"," 6.371612"," 8.005367"," 8.106816"," 5.826000"," 7.141245"," 8.597851"," 6.329721"," 9.495745"," 4.955827"," 0.000000"," 7.801800"
"TCGA-BC-A10Z-00","7.158514","5.648974","2.302585","9.760656","1.609438","6.753438","7.395722","5.768321","4.248495","2.397895","6.475433","6.261492","6.782192","7.741534","9.574150","7.178545","5.583496","7.836765","5.529429","6.954639","3.806662","5.609472","6.423247","7.163172","7.708411","6.156979","7.305188","8.123261","4.795791","8.541105","3.951244","0.000000","7.665285"
"TCGA-DD-A118-00"," 7.901377"," 5.135798"," 3.988984"," 9.212438"," 3.912023"," 6.853299"," 6.464588"," 4.644391"," 1.609438"," 4.430817"," 5.762051"," 7.596392"," 6.447306"," 8.330623","10.174850"," 8.611958"," 5.141664"," 6.939254"," 4.682131"," 7.988204"," 5.379897"," 4.787492"," 5.924256"," 7.479300"," 7.645876"," 5.402677"," 6.539586"," 8.327726"," 6.570883"," 8.695339"," 4.804021"," 0.000000"," 7.100027"
"TCGA-DD-A1EJ-00"," 8.8738881"," 6.0661081"," 3.9318256","10.2141290"," 3.6109179"," 7.4639366"," 7.2751723"," 6.4520490"," 3.7612001"," 4.6913479"," 6.7487595"," 7.1546154"," 7.1082441"," 8.6324842"," 9.4174358"," 9.1900356"," 6.0707377"," 7.7923489"," 5.7589018"," 8.5537180"," 5.3082677"," 5.6767538"," 6.2285110"," 8.1241506"," 8.6141384"," 4.7791235"," 7.4407337"," 8.5764051"," 6.5778614"," 8.8046252"," 5.0875963"," 0.6931472"," 8.1872993"
"TCGA-BC-A10Y-00"," 7.8212421"," 5.8888780"," 3.2958369","10.0379747"," 3.2580965"," 6.6783421"," 7.8690194"," 6.0776422"," 3.0445224"," 4.0943446"," 6.5250297"," 7.0518556"," 7.8547692"," 8.7284261","11.1404840"," 8.2791898"," 5.7333413"," 7.9327210"," 5.4971682"," 8.1847927"," 3.8918203"," 5.4680601"," 5.4722707"," 7.0387835"," 8.2480057"," 6.1290502"," 7.1147694"," 8.7735394"," 5.8998974"," 7.2305632"," 3.7376696"," 0.6931472"," 7.8038433"
"TCGA-DD-A1EG-00"," 8.503703"," 5.402677"," 3.555348"," 9.591308"," 3.218876"," 6.971669"," 7.194437"," 4.787492"," 2.397895"," 4.369448"," 6.154858"," 6.863803"," 6.809039"," 8.012018","10.109892"," 9.121181"," 5.624018"," 7.902118"," 5.170484"," 8.292298"," 4.382027"," 4.867534"," 6.486161"," 7.525640"," 7.971776"," 6.255750"," 6.595781"," 8.688117"," 6.579251"," 8.629629"," 5.420535"," 1.098612"," 6.935370"
"TCGA-DD-A1EI-00"," 8.177516"," 6.249975"," 5.730100"," 9.831347"," 4.644391"," 7.694848"," 6.182085"," 5.659482"," 3.663562"," 4.844187"," 6.602588"," 7.248504"," 7.204149"," 8.516993","10.504382"," 8.874308"," 6.133398"," 8.322880"," 5.652489"," 8.650850"," 4.941642"," 5.446737"," 7.046647"," 7.817223"," 7.513709"," 5.497168"," 7.419381"," 8.672486"," 6.583409"," 9.036225"," 4.976734"," 0.000000"," 7.908387"
"TCGA-BD-A2L6-00"," 9.5739413"," 6.5439118"," 4.2626799","10.1751927"," 3.6375862"," 7.0228681"," 7.5453897"," 5.9242558"," 4.0073332"," 4.8598124"," 6.3350543"," 6.8178306"," 7.1123274"," 8.2579042"," 8.9933031"," 8.7573118"," 5.7620514"," 7.8387376"," 5.7960578"," 7.6487398"," 6.4536250"," 5.5451774"," 6.1612073"," 7.0741168"," 7.7432697"," 5.6021188"," 7.1530516"," 8.5008605"," 5.3936275"," 8.3160557"," 5.7651911"," 0.6931472"," 7.7744355"
"TCGA-BC-A10R-00"," 9.402860"," 5.983936"," 3.044522"," 9.925004"," 2.564949"," 7.531552"," 7.620215"," 5.273000"," 3.465736"," 5.176150"," 6.498282"," 7.789040"," 7.027315"," 8.514389","10.157781"," 8.902728"," 5.863631"," 8.196712"," 5.293305"," 8.495765"," 5.680173"," 5.308268"," 6.077642"," 7.502186"," 7.942007"," 6.135565"," 7.315218"," 8.846065"," 6.694562"," 9.915811"," 4.941642"," 0.000000"," 7.738924"
