"","V1","V2"
"349","TP53","HSPA4"
"350","TP53","PTBP1"
"351","TP53","OGG1"
"352","TP53","AQP3"
"353","TP53","NME1"
"354","TP53","KPNA2"
"355","TP53","NCL"
"356","TP53","PRPF6"
"357","TP53","KLKB1"
"358","TP53","DUSP12"
"359","TP53","AQP1"
"360","TP53","AIFM2"
"361","TP53","VRK1"
"362","TP53","SCAMP1"
"363","TP53","ANXA3"
"364","TP53","PAFAH1B3"
"365","CDKN2A","EZH2"
"366","CDKN2A","FOXM1"
"367","CDKN2A","MCM5"
"368","CDKN2C","WDR5"
"369","CDKN2C","RBBP5"
"370","CDKN2C","EGR2"
"371","CDKN2C","EGR3"
"372","CDKN1A","EZH2"
"373","CDKN1A","FUBP1"
"374","CDKN1A","NELFCD"
"375","CDKN1A","NPM1"
"376","CDKN1A","PTMA"
"377","CDKN1A","TAF5"
"378","CDKN1A","TSG101"
"379","CDKN1A","XRCC6"
"380","CCND1","E2F8"
"381","CCND1","EZH2"
"382","CCND1","NELFCD"
"383","CCND1","NPM1"
"384","CDK4","CDK4"
"385","RB1","RB1"
"386","IGF1R","PLCB1"
"387","PDPK1","RPS6KB1"
"388","PDPK1","EGR3"
"389","MAPK1","DUSP1"
"390","MAPK1","DUSP9"
"391","MAPK1","ELK4"
"392","MAPK1","RPS6KB1"
"393","MAPK1","PRKCD"
"394","MAPK1","SMAD2"
"395","MAPK1","IL17RC"
"396","MAPK1","SDC1"
"397","MAPK1","TCF3"
"398","MAPK1","ZFP36"
"399","MAPK1","TNF"
"400","MAPK3","ELK4"
"401","MAPK3","RPS6KB1"
"402","MAPK3","SMAD2"
"403","MAPK3","SMAD3"
"404","MAPK3","ESR1"
"405","MAPK3","ETS2"
"406","MAPK3","ZNF7"
"407","MAPK3","TNF"
"408","UPF2","ZFP36"
"409","UPF2","GSPT2"
"410","UPF3B","SATB2"
"411","UPF3B","GSPT2"
"412","SMG7","EGR2"
"413","SMG7","SMG5"
"414","PPP2CB","RPS6KB1"
"415","PPP2CB","EGR3"
"416","PPP2CB","SMG5"
"417","PPP2CB","IRAK1"
"418","PPP2CB","STK3"
"419","PPP2R1A","RPS6KB1"
"420","PPP2R1A","MCM3"
"421","PPP2R1A","SMG5"
"422","PPP2R1A","IRAK1"
"423","PPP2R1A","STK3"
"424","PPP2R5A","FOSB"
"425","PPP2R5A","SMG5"
"426","HGS","SMAD2"
"427","HGS","SMAD3"
"428","HGS","TSG101"
"429","RAN","SMAD2"
"430","RAN","PTMA"
"431","RAN","SSRP1"
"432","RAN","XPO1"
"433","RAD50","RAD50"
"434","BRCA2","FANCG"
"435","BRCA2","CCNE1"
"436","BRCA2","SEM1"
"437","BRCA2","PSMD3"
"438","BRCA2","BUB1B"
"439","BRCA2","RPA1"
"440","FANCC","FANCI"
"441","FANCD2","RAD51"
"442","FANCF","FANCI"
"443","FANCG","FANCI"
"444","UBE2T","NFYC"
"445","UBE2T","FANCI"
"446","CENPX","FANCI"
"447","CENPS","FANCI"
"448","DUSP1","NFE2L2"
"449","DUSP1","ATF5"
"450","MAP4K4","MAP3K1"
"451","ELK4","NR2C2"
"452","ELK1","RAC1"
"453","ELK1","EPHA2"
"454","ELK1","FZD4"
"455","ELK1","PARD3"
"456","ELK1","RALA"
"457","ELK1","MECOM"
"458","ELK1","MDM4"
"459","ELK1","SND1"
"460","ELK1","ZFP36"
"461","ELK1","CITED2"
"462","ELK1","DNAJC2"
"463","ELK1","ERCC3"
"464","ELK1","KAT7"
"465","ELK1","RNPS1"
"466","ELK1","TRRAP"
"467","ELK1","ZNF581"
"468","ELK1","FANCI"
"469","ELK1","TNF"
"470","ELK1","SKP2"
"471","ELK1","ARID2"
"472","ELK1","SETDB1"
"473","ELK1","MCM10"
"474","ELK1","DAP3"
"475","ELK1","EIF2AK1"
"476","ELK1","FUT4"
"477","ELK1","BLM"
"478","ELK1","NOL7"
"479","ELK1","OGG1"
"480","ELK1","PRCP"
"481","ELK1","CENPF"
"482","ELK1","WDR46"
"483","ELK1","THOC6"
"484","ELK1","PUF60"
"485","ELK1","PTBP3"
"486","ELK1","LASP1"
"487","ELK1","ASXL2"
"488","ELK1","SENP1"
"489","ELK1","NUP155"
"490","ELK1","MSH3"
"491","ELK1","BROX"
"492","ELK1","DHX30"
"493","ELK1","SEC24C"
"494","ELK1","PRPF19"
"495","ELK1","DPCD"
"496","ELK1","C17orf58"
"497","ELK1","ACD"
"498","ELK1","SF3B2"
"499","ELK1","OTUD7B"
"500","ELK1","MTBP"
"501","ELK1","KIF4A"
"502","ELK1","EPB41L4A"
"503","ELK1","ACTG2"
"504","ELK1","SLBP"
"505","ELK1","LRRC4C"
"506","ELK1","SERPINI1"
"507","ELK1","RBP5"
"508","ELK1","MLEC"
"509","ELK1","MAF1"
"510","ELK1","KCNN2"
"511","ELK1","GPANK1"
"512","ELK1","UBE2Q1"
"513","ELK1","TMEM68"
"514","ELK1","RPL37"
"515","ELK1","RPL15"
"516","ELK1","MEA1"
"517","ELK1","ITPA"
"518","ELK1","ITGB3BP"
"519","ELK1","HEATR1"
"520","ELK1","EXOSC10"
"521","ELK1","DCAF8"
"522","ELK1","COLEC11"
"523","ELK1","CLK2"
"524","ELK1","CIDEB"
"525","ELK1","SMG8"
"526","ELK1","TINAGL1"
"527","ELK1","ZSCAN29"
"528","ELK1","ZNF623"
"529","ELK1","ZNF322"
"530","ELK1","UGGT1"
"531","ELK1","UBE2J2"
"532","ELK1","TRIM15"
"533","ELK1","SNX12"
"534","ELK1","SLC25A20"
"535","ELK1","SFR1"
"536","ELK1","RNF150"
"537","ELK1","RBM22"
"538","ELK1","RABIF"
"539","ELK1","PPOX"
"540","ELK1","POLA1"
"541","ELK1","OSTF1"
"542","ELK1","MTIF2"
"543","ELK1","LZIC"
"544","ELK1","KLHDC3"
"545","ELK1","KCND3"
"546","ELK1","KBTBD4"
"547","ELK1","FBXW2"
"548","ELK1","FBXL18"
"549","ELK1","FAM168B"
"550","ELK1","EMG1"
"551","ELK1","EIF3G"
"552","ELK1","DNAJC7"
"553","ELK1","DISP1"
"554","ELK1","DDX55"
"555","ELK1","CSPP1"
"556","ELK1","CPSF3"
"557","ELK1","COPA"
"558","ELK1","COMMD5"
"559","ELK1","CDCA8"
"560","ELK1","CBLN2"
"561","ELK1","BANF1"
"562","ELK1","AP5M1"
"563","ELK1","AP3B1"
"564","ELK1","UBE2I"
"565","GADD45G","CDK1"
"566","GADD45G","PCNA"
"567","GADD45G","ESR1"
"568","GADD45G","MAP3K4"
"569","GADD45A","NPM1"
"570","GADD45A","MAP3K4"
"571","GADD45B","MAP3K4"
"572","IL1RAP","MYD88"
"573","TGFB1","DCN"
"574","TGFB1","ASH1L"
"575","TGFB1","FOSB"
"576","TGFB2","SMAD2"
"577","TGFB2","SMAD3"
"578","MAPKAPK5","HSPB1"
"579","RAC1","DVL1"
"580","RAC1","DVL2"
"581","RAC1","DVL3"
"582","RAC1","TLR4"
"583","RAC1","FYN"
"584","RAC1","WASF2"
"585","RAC1","GNB1"
"586","RAC1","RALBP1"
"587","RAC1","ABL2"
"588","RAC1","PTTG1"
"589","RAC1","MAP3K1"
"590","MYD88","TLR4"
"591","MYD88","ZIC2"
"592","MYD88","IRAK1"
"593","MYD88","TNF"
"594","EPHA2","TCF3"
"595","MET","PLCG1"
"596","MET","PTK2"
"597","MET","TCF3"
"598","NGFR","PLCB1"
"599","PDGFRA","PLCB1"
"600","PDGFRA","PLCG1"
"601","PDGFRA","PTK2"
"602","RGL1","RALA"
"603","RGL1","POU2F1"
"604","RALGAPB","RALA"
"605","ENAH","E2F2"
"606","ENAH","ACTB"
"607","GDF5","BMPR1A"
"608","PLCB1","AVPR1A"
"609","PLCB1","FPR1"
"610","PLCB1","GNB1"
"611","PLCG1","PRKCD"
"612","PLCG2","PRKCD"
"613","PLCG2","NPM1"
"614","CD14","TLR4"
"615","TGFBR2","ETV4"
"616","SMAD4","SMAD4"
"617","DGKQ","PLCD3"
"618","DGKZ","EGR3"
"619","DGKZ","PLCD3"
"620","MTMR7","PIP4P2"
"621","ROCK2","PTEN"
"622","FCER1A","FYN"
"623","AGTR1","ETV4"
"624","AGTR1","SND1"
"625","AGTR1","SERPINE1"
"626","TSC1","RHEB"
"627","TSC1","RPS6KA3"
"628","TSC2","PRKAA2"
"629","ORC1","KAT7"
"630","CDK1","FOXM1"
"631","CDK1","HMGA1"
"632","CDK1","MDM4"
"633","CDK1","NPM1"
"634","CDK1","PTMA"
"635","CDK1","PTTG1"
"636","PCNA","PTMA"
"637","PCNA","BAZ1B"
"638","PCNA","XRCC6"
"639","PLK1","NPM1"
"640","YWHAB","CDC25B"
"641","YWHAB","CDC25C"
"642","YWHAB","MDM4"
"643","YWHAB","ZFP36"
"644","YWHAB","RNPS1"
"645","YWHAG","CDC25B"
"646","YWHAG","CDC25C"
"647","YWHAG","MDM4"
"648","YWHAG","ZFP36"
"649","YWHAG","MCM5"
"650","YWHAG","RNPS1"
"651","YWHAZ","CDC25B"
"652","YWHAZ","CDC25C"
"653","YWHAZ","MDM4"
"654","YWHAZ","XRCC6"
"655","PRKDC","HMGB2"
"656","PRKDC","ILF2"
"657","PRKDC","XRCC6"
"658","CDC25B","FOXM1"
"659","CDC25C","PPP1CC"
"660","CDC6","FOXM1"
"661","GSK3B","DVL2"
"662","GSK3B","PARD3"
"663","GSK3B","CREB3L4"
"664","GSK3B","NFYC"
"665","GSK3B","POU2F1"
"666","CCNB1","FOXM1"
"667","CCNB1","PTMA"
"668","CCNB1","PTTG1"
"669","CCNB2","ANAPC7"
"670","CCNB2","ANAPC11"
"671","CCNA2","ESR1"
"672","CCNA2","ETS2"
"673","CDK7","ERCC3"
"674","CDK7","PCGF6"
"675","E2F4","WNT5A"
"676","E2F4","WNT9A"
